ticket_id,order_id,resolution_cost,created_at
252,34933,5.91,2023-12-01
253,23602,7.77,2023-05-17
254,31340,7.15,2024-12-15
255,41862,5.12,2023-10-30
256,199,2.88,2023-01-11
257,38581,5.23,2023-09-14
258,7277,19.56,2023-12-26
259,814,12.37,2024-08-24
260,33106,3.87,2023-09-09
261,49880,8.27,2023-10-29
262,20602,6.94,2024-10-05
263,3582,18.76,2024-02-13
264,10429,12.42,2024-07-06
265,56568,14.03,2024-10-08
266,28030,22.32,2024-09-28
267,10598,5.69,2024-08-04
268,25359,0.83,2023-09-15
269,1230,49.32,2023-03-18
270,51278,5.51,2023-07-27
271,57128,245.89,2024-07-09
272,42994,7.2,2023-10-01
273,48503,3.02,2024-07-25
274,17587,9.53,2024-06-04
275,16894,7.0,2024-07-02
276,17492,4.71,2024-06-09
277,21679,4.6,2024-11-09
278,46865,10.04,2023-01-04
279,53310,7.2,2024-04-16
280,31852,10.89,2023-08-16
281,4877,3.61,2024-09-10
282,42778,6.03,2023-05-08
283,11643,5.72,2023-01-20
284,19150,3.5,2024-02-02
285,18214,5.54,2024-01-04
286,32611,3.13,2024-07-09
287,48460,23.38,2024-11-27
288,46109,22.5,2023-11-27
289,33731,21.57,2024-08-13
290,2482,5.0,2024-03-10
291,12387,30.63,2024-10-26
292,44493,8.67,2023-08-21
293,18315,28.29,2023-07-21
294,29300,26.59,2024-04-23
295,22158,4.5,2023-05-07
296,37971,5.53,2024-07-02
297,39406,8.0,2024-08-13
298,14109,5.32,2024-02-06
299,45856,1.87,2024-10-23
300,56538,4.09,2024-02-11
301,36303,4.38,2023-04-06
302,51427,12.32,2023-02-26
303,10433,6.82,2023-04-24
304,58732,33.23,2023-08-16
305,44631,63.83,2023-01-22
306,28971,5.48,2023-12-03
307,12858,31.86,2023-08-23
308,6375,3.2,2024-11-17
309,6400,1.85,2023-07-09
310,49494,12.25,2024-03-17
311,53077,4.87,2024-06-16
312,10312,11.95,2023-11-27
313,49797,2.1,2023-01-23
314,14512,13.13,2023-08-01
315,39349,41.63,2024-10-01
316,39997,1.75,2023-12-04
317,20255,4.03,2024-08-09
318,44396,24.7,2024-10-12
319,2470,63.23,2023-05-30
320,59390,7.11,2023-05-01
321,47965,5.23,2023-02-19
322,52917,2.11,2023-03-31
323,19984,2.96,2024-07-07
324,26628,21.91,2023-07-21
325,42071,15.96,2023-03-07
326,56837,53.14,2024-10-03
327,19444,57.19,2023-05-05
328,58350,5.64,2023-04-22
329,10056,36.4,2024-04-12
330,47052,11.86,2023-04-04
331,16223,23.42,2024-01-16
332,28429,18.15,2024-05-28
333,54747,12.19,2023-10-30
334,52632,9.76,2024-06-18
335,33071,58.37,2024-01-05
336,36658,7.54,2024-08-20
337,23040,15.69,2024-12-14
338,8220,7.72,2024-11-10
339,33820,3.77,2023-04-23
340,52718,12.07,2023-08-28
341,1028,28.66,2023-01-23
342,13151,59.24,2024-03-05
343,59199,29.83,2023-09-16
344,56977,8.45,2024-02-29
345,1617,23.77,2024-10-21
346,18390,16.33,2023-01-18
347,16333,3.24,2023-12-25
348,40060,7.19,2023-01-17
349,8296,43.12,2023-11-25
350,4360,3.06,2023-04-10
351,48434,1.67,2024-07-06
352,56949,5.47,2023-10-08
353,48528,5.49,2023-04-08
354,8510,3.86,2024-06-07
355,28856,6.82,2024-07-19
356,1207,5.94,2023-11-07
357,38894,2.57,2023-10-11
358,25136,6.33,2024-09-07
359,54094,42.11,2024-07-14
360,50026,15.47,2024-04-30
361,43536,22.61,2024-10-24
362,51586,36.67,2024-02-14
363,24274,8.7,2023-03-25
364,17505,3.78,2024-11-19
365,16651,8.39,2024-08-21
366,28774,16.66,2023-08-26
367,8745,4.11,2023-05-26
368,25659,7.35,2023-09-06
369,4546,14.26,2023-11-01
370,7839,2.34,2023-05-31
371,56037,10.6,2023-11-04
372,14662,14.74,2023-02-22
373,16259,4.42,2023-03-13
374,21644,9.66,2023-04-01
375,30612,10.15,2023-12-01
376,23506,3.33,2023-03-04
377,29910,3.79,2023-08-15
378,57563,8.89,2024-08-31
379,58927,5.6,2023-11-09
380,12237,4.48,2024-02-13
381,21618,40.44,2023-01-23
382,30327,7.24,2023-05-17
383,39894,8.58,2024-05-08
384,38220,15.44,2023-02-05
385,28887,3.95,2023-11-04
386,53459,5.69,2023-02-12
387,36925,9.23,2024-04-12
388,49231,1.97,2023-01-11
389,41023,5.04,2024-04-11
390,14954,12.67,2023-01-19
391,41722,8.26,2023-03-23
392,39273,6.18,2024-09-15
393,5051,3.06,2024-08-08
394,216,7.01,2024-11-09
395,56321,3.12,2023-06-04
396,7047,15.05,2024-01-05
397,2094,2.4,2023-04-19
398,48978,6.24,2024-05-31
399,1485,5.35,2024-09-01
400,2822,22.09,2024-02-08
401,26992,3.86,2023-04-17
402,29894,4.97,2023-05-03
403,43225,24.2,2024-08-11
404,512,15.74,2023-10-17
405,53380,4.33,2023-03-13
406,57733,2.21,2024-10-16
407,9505,15.31,2023-11-20
408,42378,7.25,2023-08-20
409,17852,13.5,2023-07-23
410,40480,6.43,2023-02-13
411,23989,10.18,2023-03-18
412,31091,6.64,2024-09-22
413,52307,18.92,2023-07-24
414,24916,7.32,2023-08-07
415,56020,1.43,2023-10-31
416,44706,3.42,2024-11-30
417,5971,1.55,2023-03-05
418,25742,1.42,2023-01-08
419,28219,11.67,2024-12-22
420,52166,12.31,2023-05-08
421,44341,23.28,2023-10-12
422,39699,48.5,2024-10-28
423,32111,29.62,2023-02-14
424,21553,3.32,2024-03-27
425,54773,5.06,2024-08-09
426,26905,20.77,2023-05-23
427,46302,6.48,2024-01-26
428,12449,5.04,2023-10-31
429,54857,27.85,2023-06-27
430,59528,15.58,2024-11-01
431,49577,3.11,2023-01-24
432,55761,2.0,2024-06-21
433,17658,7.35,2023-01-29
434,6524,15.19,2024-12-23
435,8017,16.14,2024-09-29
436,46284,26.27,2024-12-28
437,43713,6.37,2024-12-29
438,31186,17.81,2024-12-18
439,51921,3.27,2024-10-15
440,17100,34.13,2023-08-26
441,22298,3.56,2024-08-23
442,13662,5.59,2024-03-17
443,10378,4.83,2023-10-31
444,36555,8.68,2024-11-23
445,54990,21.63,2024-03-07
446,10558,7.95,2024-06-03
447,14173,13.07,2023-01-22
448,48091,2.7,2024-06-10
449,18247,8.62,2023-09-15
450,57781,1.47,2024-10-25
451,59815,2.85,2023-09-14
452,32711,6.31,2023-09-01
453,25327,2.14,2024-05-09
454,30402,31.3,2023-05-29
455,1843,3.19,2024-12-29
456,56972,20.78,2023-06-24
457,27430,9.97,2024-07-18
458,627,43.12,2024-09-04
459,12964,16.87,2023-09-08
460,30215,3.89,2023-03-09
461,56198,22.52,2023-02-27
462,36641,6.74,2024-10-22
463,11423,12.91,2024-09-26
464,4726,3.5,2024-05-30
465,42751,4.72,2023-04-15
466,2766,28.11,2024-06-28
467,19904,9.61,2024-08-02
468,6521,8.62,2023-06-14
469,15847,29.95,2023-01-28
470,24426,4.0,2024-02-11
471,13581,6.73,2023-08-13
472,48304,5.51,2023-06-21
473,52406,7.25,2024-01-13
474,23045,4.76,2024-12-05
475,7314,6.19,2024-12-10
476,47796,8.88,2024-09-02
477,37893,17.86,2023-07-24
478,31205,4.58,2024-04-24
479,10561,11.2,2023-03-12
480,20776,14.27,2024-05-23
481,33223,18.26,2023-07-09
482,52800,5.57,2023-02-09
483,35927,9.47,2023-11-18
484,54434,4.64,2023-03-03
485,57452,32.62,2023-07-18
486,32288,31.87,2024-02-21
487,55397,67.58,2023-05-31
488,5707,7.06,2024-06-26
489,15183,8.85,2024-06-22
490,18634,18.55,2023-08-01
491,29360,3.05,2023-08-03
492,27684,25.53,2024-02-15
493,53456,5.81,2023-05-02
494,32315,24.2,2023-02-03
495,45288,7.38,2023-01-18
496,54356,6.53,2024-03-07
497,45267,7.32,2023-09-01
498,43839,9.37,2023-11-16
499,4443,9.1,2024-08-19
500,30009,9.17,2023-03-15
501,18108,10.39,2024-11-17
502,25717,7.22,2023-08-19
503,38810,4.72,2023-04-24
504,9737,4.64,2024-10-07
505,39524,3.01,2023-03-20
506,1477,8.21,2024-04-22
507,58926,6.93,2024-09-16
508,21604,16.51,2024-07-15
509,50993,1.21,2024-10-18
510,27824,5.2,2023-08-14
511,7507,8.43,2024-04-30
512,47315,39.89,2023-04-22
513,18928,2.03,2024-07-01
514,40631,6.66,2023-06-20
515,28317,10.93,2024-09-10
516,57384,5.02,2024-02-16
517,27873,8.98,2023-02-01
518,30285,4.69,2024-06-28
519,28568,34.6,2023-04-27
520,49275,1.32,2024-01-03
521,54285,5.35,2024-03-01
522,43400,6.58,2024-07-06
523,41608,7.88,2024-03-16
524,31053,18.95,2024-09-03
525,41530,6.28,2024-04-02
526,11637,7.76,2024-04-19
527,10513,1.46,2023-05-26
528,56503,19.56,2023-11-20
529,20707,2.0,2024-07-22
530,42034,11.62,2024-12-24
531,4558,3.88,2024-06-12
532,55105,11.19,2024-02-06
533,27394,7.15,2023-09-23
534,2290,14.42,2024-05-07
535,58329,9.29,2023-10-08
536,27793,11.32,2024-07-07
537,8738,2.77,2023-10-23
538,56015,6.14,2024-12-23
539,47679,3.73,2024-12-31
540,1194,11.23,2024-10-29
541,56889,8.88,2024-09-15
542,52397,14.46,2023-01-01
543,2671,7.33,2024-10-29
544,8235,22.09,2023-01-22
545,222,9.22,2024-08-07
546,26916,5.1,2023-07-17
547,36293,3.84,2023-10-29
548,56493,1.02,2024-11-06
549,9703,11.44,2023-01-13
550,35697,11.51,2023-12-24
551,2441,29.52,2024-07-12
552,45096,4.12,2023-04-06
553,7223,2.84,2023-11-14
554,25685,3.33,2023-11-16
555,22432,13.83,2023-07-22
556,51103,5.15,2024-05-29
557,22647,4.24,2024-04-15
558,30534,19.16,2023-05-09
559,56819,7.26,2023-03-28
560,20170,11.47,2023-05-08
561,22287,2.46,2023-09-09
562,9398,13.25,2024-06-07
563,8608,21.07,2024-09-04
564,23791,4.87,2024-05-03
565,34498,16.34,2024-03-12
566,1650,4.45,2024-06-10
567,53148,6.92,2023-02-06
568,29836,8.84,2024-05-17
569,49873,15.09,2023-10-14
570,33973,3.43,2024-04-07
571,3377,12.16,2023-04-18
572,40407,8.6,2023-03-18
573,28644,14.98,2024-07-31
574,26163,5.67,2024-03-31
575,2179,9.28,2024-11-15
576,49011,2.47,2023-06-10
577,23870,6.56,2024-02-13
578,30797,5.11,2023-12-24
579,40745,6.91,2024-01-27
580,37957,6.08,2024-12-25
581,29231,76.36,2024-05-29
582,30450,1.9,2024-06-09
583,34585,7.34,2023-07-18
584,37974,17.55,2023-04-23
585,40528,10.99,2024-07-22
586,49263,17.04,2023-02-19
587,47770,3.26,2023-05-14
588,37187,6.54,2023-05-14
589,43541,43.66,2023-09-09
590,19131,12.14,2024-08-16
591,31725,19.31,2024-08-06
592,30115,8.41,2024-05-01
593,24011,4.39,2024-06-04
594,21113,18.01,2023-04-22
595,18264,11.99,2024-03-02
596,24022,7.28,2023-04-19
597,3128,2.06,2023-03-09
598,16544,11.91,2023-07-08
599,22580,54.19,2024-08-29
600,6921,11.99,2024-02-15
601,44226,6.49,2024-06-21
602,33660,18.51,2023-02-01
603,34437,32.89,2023-11-14
604,48286,12.0,2023-03-23
605,16149,11.58,2023-07-11
606,52517,7.84,2024-03-20
607,5033,75.56,2023-06-04
608,20708,14.62,2023-02-15
609,11115,8.05,2024-02-05
610,47395,24.63,2024-11-15
611,162,13.54,2024-09-24
612,22672,4.89,2024-03-28
613,22872,3.09,2023-06-13
614,23803,4.75,2024-07-07
615,35458,6.12,2023-01-23
616,13916,23.28,2023-05-07
617,26593,3.0,2023-06-22
618,57895,0.73,2024-04-23
619,48767,3.17,2023-04-15
620,25975,8.1,2023-07-24
621,5306,7.94,2024-05-09
622,25213,43.33,2023-02-19
623,22055,10.68,2024-11-13
624,53324,21.21,2023-09-22
625,58607,4.77,2024-07-02
626,16631,31.65,2024-08-02
627,3730,5.4,2024-10-13
628,19126,9.31,2023-06-06
629,13606,19.93,2024-01-28
630,47335,27.1,2023-03-20
631,35406,4.95,2024-11-12
632,48599,32.93,2023-02-01
633,38149,4.03,2023-09-15
634,53510,41.84,2024-02-13
635,28521,2.89,2023-11-07
636,3199,14.83,2023-11-11
637,50319,43.43,2024-07-17
638,41695,36.99,2024-04-28
639,58212,7.92,2023-12-15
640,35897,10.6,2023-09-05
641,2811,13.19,2023-03-11
642,15431,13.88,2024-04-20
643,8446,4.12,2023-11-15
644,680,1.14,2024-05-16
645,41157,0.88,2023-10-16
646,56597,26.11,2024-03-31
647,7005,30.61,2024-12-08
648,45441,3.41,2023-01-03
649,55379,6.5,2024-06-21
650,44270,4.25,2024-10-11
651,53914,12.92,2024-11-26
652,37531,1.46,2024-05-23
653,42858,3.17,2024-06-01
654,47341,43.69,2023-01-01
655,17108,12.73,2024-08-19
656,22532,9.56,2024-02-04
657,4933,27.47,2023-08-21
658,53354,4.32,2023-02-11
659,36519,8.26,2024-01-18
660,55677,36.82,2024-04-11
661,19808,33.99,2023-05-03
662,51033,5.96,2023-02-12
663,17181,21.58,2023-06-01
664,9724,25.96,2024-08-30
665,23418,14.39,2023-11-09
666,11462,3.88,2023-09-24
667,18702,3.02,2024-12-07
668,24786,29.78,2023-07-03
669,8553,9.57,2024-08-26
670,32814,27.79,2023-08-16
671,19021,3.06,2023-10-23
672,27145,12.05,2024-08-03
673,8908,16.29,2023-04-04
674,27477,16.94,2024-09-12
675,19855,5.63,2024-07-12
676,24514,3.92,2023-06-22
677,32441,1.64,2023-02-03
678,55096,6.23,2024-05-30
679,6746,2.8,2024-06-16
680,5769,6.26,2024-05-20
681,14207,3.41,2024-02-16
682,32757,5.46,2023-07-22
683,1910,11.39,2024-08-13
684,46764,25.21,2023-07-27
685,51188,6.85,2024-02-12
686,35837,2.24,2024-03-30
687,18410,13.53,2023-07-06
688,28956,17.23,2023-07-17
689,14297,3.62,2023-02-21
690,53462,31.56,2024-08-05
691,28318,9.5,2024-02-18
692,2866,10.5,2023-11-30
693,56834,8.39,2024-03-20
694,1121,6.82,2023-12-26
695,30696,4.08,2023-07-09
696,52540,55.4,2024-12-12
697,18438,9.16,2023-07-27
698,26929,2.76,2024-06-29
699,12257,12.74,2023-04-23
700,47971,12.93,2023-10-21
701,667,9.44,2024-05-20
702,22283,4.07,2024-12-21
703,11963,9.57,2024-09-30
704,17621,6.74,2024-01-13
705,54198,8.28,2023-10-29
706,40314,10.43,2023-09-22
707,49719,3.56,2023-02-15
708,48431,1.38,2023-04-05
709,40212,3.77,2023-06-24
710,44905,34.03,2024-08-20
711,8689,1.37,2024-05-25
712,58302,8.8,2024-06-28
713,55390,8.93,2023-07-12
714,25656,4.63,2024-02-22
715,34826,1.87,2023-07-25
716,20726,5.18,2023-07-02
717,46758,12.13,2024-07-04
718,28648,4.47,2023-03-16
719,14295,7.37,2024-03-29
720,46547,8.76,2024-01-11
721,11293,8.12,2023-05-11
722,48355,11.14,2023-05-16
723,13439,12.03,2024-10-21
724,34095,11.26,2024-12-04
725,59093,11.6,2023-06-14
726,54898,9.68,2024-10-16
727,15089,8.48,2024-06-26
728,160,3.05,2024-10-30
729,47641,5.25,2024-09-30
730,138,1.97,2023-08-30
731,12331,10.08,2024-12-17
732,14470,14.52,2023-11-09
733,35229,4.47,2023-02-27
734,15264,45.34,2024-07-18
735,11166,13.83,2023-09-21
736,57431,11.43,2023-12-25
737,59041,21.5,2023-05-07
738,30938,2.48,2023-03-11
739,31383,8.16,2023-11-03
740,13644,6.53,2023-10-22
741,8653,9.84,2023-11-09
742,22958,2.74,2024-08-21
743,13624,14.29,2024-06-08
744,31118,4.18,2023-08-17
745,41529,5.37,2023-02-14
746,41876,16.34,2023-03-06
747,25338,1.24,2024-06-03
748,57599,7.11,2024-11-17
749,36105,12.25,2024-06-23
750,52485,8.45,2024-05-30
751,47367,6.19,2024-07-11
752,14528,1.48,2024-03-04
753,57040,10.02,2023-05-16
754,52373,9.33,2023-05-27
755,1232,19.76,2024-10-17
756,48763,21.91,2024-01-23
757,52586,8.27,2024-12-25
758,740,4.32,2023-04-25
759,43490,2.46,2023-05-23
760,51512,6.44,2023-06-20
761,22197,27.52,2023-04-06
762,24755,8.83,2023-05-09
763,43252,9.77,2024-04-08
764,34154,4.01,2023-08-14
765,55735,1.2,2024-06-24
766,7820,5.71,2023-06-16
767,40228,3.1,2024-04-20
768,54179,2.96,2024-02-10
769,9892,31.75,2023-02-17
770,46511,2.78,2024-09-12
771,21659,4.9,2024-04-24
772,46661,30.85,2023-05-24
773,1628,5.56,2024-10-31
774,4148,3.44,2023-03-28
775,42725,20.58,2023-01-20
776,57579,8.83,2023-08-29
777,49431,5.32,2023-01-02
778,12138,5.75,2024-12-02
779,19453,43.14,2023-10-12
780,49987,2.94,2023-03-02
781,1426,5.96,2024-11-19
782,41344,3.08,2024-04-26
783,10703,10.28,2023-10-16
784,4218,3.2,2023-04-03
785,6068,8.45,2023-02-09
786,24087,14.67,2023-06-27
787,7968,14.67,2024-10-09
788,46866,32.55,2023-10-18
789,33010,6.4,2023-10-22
790,30611,4.09,2024-02-25
791,8163,10.32,2024-05-11
792,24586,14.55,2023-12-14
793,27765,20.49,2023-09-13
794,8212,3.06,2024-04-08
795,39214,9.34,2023-10-29
796,9599,8.53,2023-02-14
797,51720,6.59,2023-10-30
798,11879,3.13,2023-03-04
799,4909,18.8,2024-06-20
800,50794,2.94,2024-04-29
801,50913,2.04,2023-10-25
802,50597,5.13,2023-09-18
803,8195,1.02,2024-04-27
804,37083,4.99,2023-05-29
805,49924,6.22,2024-08-19
806,48686,14.96,2024-10-18
807,33366,18.92,2024-11-04
808,50946,3.91,2023-09-10
809,40979,2.58,2024-12-04
810,3159,7.47,2023-03-05
811,39427,8.74,2023-02-21
812,56105,13.35,2024-04-27
813,48474,23.31,2023-08-19
814,50221,27.79,2023-11-24
815,16616,0.95,2023-01-11
816,6947,3.5,2024-09-07
817,40283,3.96,2023-12-06
818,31916,12.34,2024-04-15
819,51554,61.23,2024-03-19
820,30503,19.05,2024-08-08
821,29395,2.89,2024-06-28
822,56439,11.09,2024-06-02
823,23332,18.4,2023-10-08
824,16055,2.25,2024-02-15
825,28808,33.75,2023-03-21
826,18484,9.61,2024-05-16
827,4249,12.0,2024-03-16
828,4258,6.37,2024-08-15
829,21099,15.23,2024-08-06
830,26733,8.37,2024-09-17
831,4238,7.1,2024-05-02
832,32351,0.74,2024-04-18
833,49642,8.34,2024-01-14
834,47985,14.74,2023-07-09
835,33855,6.7,2023-12-02
836,19859,4.17,2024-03-01
837,21280,11.05,2023-02-24
838,42642,4.95,2023-12-20
839,40237,13.91,2024-06-29
840,16863,2.87,2023-04-21
841,35437,11.96,2024-08-13
842,57578,9.68,2024-01-23
843,37923,28.99,2023-05-24
844,34840,6.34,2024-01-03
845,45319,15.65,2024-12-22
846,42615,1.9,2024-03-10
847,51910,6.09,2024-05-14
848,47213,3.33,2024-03-31
849,45840,21.2,2024-02-29
850,33093,14.53,2024-12-05
851,51683,10.14,2023-10-16
852,5769,1.38,2024-06-22
853,55425,5.12,2024-01-12
854,13105,14.97,2023-10-23
855,32992,4.26,2023-02-21
856,21592,7.79,2023-11-20
857,20184,6.74,2023-12-15
858,21871,6.79,2024-09-27
859,35952,4.05,2023-10-05
860,46600,31.56,2024-07-12
861,53452,2.57,2023-03-24
862,8414,8.01,2023-07-08
863,23634,34.14,2024-07-26
864,34875,13.64,2023-08-29
865,36979,17.57,2024-05-22
866,56948,5.73,2023-02-09
867,47191,4.23,2024-02-11
868,20005,30.14,2023-11-27
869,55663,5.85,2023-06-16
870,47576,22.39,2023-05-06
871,28432,7.11,2024-02-29
872,37337,9.73,2024-03-19
873,40787,4.23,2024-11-11
