customer_id,signup_date,acquisition_channel,region,signup_month
231,2023-07-03,Paid Search,East,2023-07
232,2023-05-03,Organic,South,2023-05
233,2024-02-05,Organic,West,2024-02
234,2023-10-21,Social,South,2023-10
235,2023-10-07,Referral,North,2023-10
236,2024-09-01,Organic,South,2024-09
237,2023-07-17,Organic,East,2023-07
238,2024-05-25,Referral,East,2024-05
239,2023-05-24,Paid Search,South,2023-05
240,2024-08-31,Paid Search,East,2024-08
241,2023-07-20,Paid Search,East,2023-07
242,2023-05-04,Referral,North,2023-05
243,2023-07-06,Referral,West,2023-07
244,2023-11-22,Paid Search,East,2023-11
245,2024-04-08,Organic,West,2024-04
246,2023-12-15,Organic,South,2023-12
247,2024-10-21,Paid Search,South,2024-10
248,2024-02-07,Social,East,2024-02
249,2023-12-12,Paid Search,South,2023-12
250,2024-05-25,Paid Search,North,2024-05
251,2023-05-27,Organic,East,2023-05
252,2023-05-28,Organic,East,2023-05
253,2024-12-11,Paid Search,East,2024-12
254,2024-05-03,Organic,South,2024-05
255,2024-10-01,Organic,South,2024-10
256,2024-07-04,Paid Search,East,2024-07
257,2023-12-04,Paid Search,West,2023-12
258,2024-10-02,Organic,South,2024-10
259,2024-04-17,Paid Search,South,2024-04
260,2023-05-31,Social,East,2023-05
261,2024-02-19,Referral,West,2024-02
262,2023-10-25,Social,East,2023-10
263,2024-09-02,Paid Search,South,2024-09
264,2023-09-20,Social,East,2023-09
265,2023-05-24,Paid Search,East,2023-05
266,2023-12-12,Paid Search,East,2023-12
267,2024-09-15,Paid Search,West,2024-09
268,2024-07-25,Paid Search,East,2024-07
269,2023-01-02,Organic,South,2023-01
270,2023-10-31,Organic,East,2023-10
271,2023-09-11,Paid Search,West,2023-09
272,2024-10-13,Organic,North,2024-10
273,2024-03-28,Paid Search,West,2024-03
274,2023-02-06,Organic,East,2023-02
275,2023-06-09,Paid Search,North,2023-06
276,2023-01-09,Referral,East,2023-01
277,2023-08-21,Referral,West,2023-08
278,2023-04-09,Organic,North,2023-04
279,2024-10-20,Paid Search,North,2024-10
280,2023-07-27,Paid Search,East,2023-07
281,2023-05-11,Referral,East,2023-05
282,2024-02-08,Paid Search,West,2024-02
283,2023-06-01,Paid Search,East,2023-06
284,2023-02-23,Paid Search,North,2023-02
285,2023-04-30,Organic,South,2023-04
286,2024-11-03,Organic,South,2024-11
287,2024-09-19,Referral,West,2024-09
288,2024-08-09,Paid Search,East,2024-08
289,2024-09-16,Paid Search,West,2024-09
290,2024-02-24,Referral,South,2024-02
291,2024-02-26,Referral,South,2024-02
292,2023-04-14,Paid Search,East,2023-04
293,2023-09-11,Organic,North,2023-09
294,2023-08-15,Paid Search,East,2023-08
295,2023-04-22,Social,South,2023-04
296,2024-05-24,Paid Search,North,2024-05
297,2024-04-17,Social,West,2024-04
298,2023-04-09,Organic,South,2023-04
299,2023-06-02,Organic,West,2023-06
300,2023-12-04,Paid Search,North,2023-12
301,2024-12-06,Organic,West,2024-12
302,2023-06-12,Paid Search,South,2023-06
303,2024-12-20,Paid Search,East,2024-12
304,2024-11-11,Organic,West,2024-11
305,2023-06-10,Social,South,2023-06
306,2024-08-02,Organic,South,2024-08
307,2024-02-02,Organic,North,2024-02
308,2023-10-04,Paid Search,South,2023-10
309,2024-05-18,Paid Search,East,2024-05
310,2024-01-27,Paid Search,East,2024-01
311,2023-05-15,Organic,West,2023-05
312,2023-07-14,Social,West,2023-07
313,2024-02-05,Organic,West,2024-02
314,2024-10-01,Paid Search,West,2024-10
315,2023-02-02,Paid Search,East,2023-02
316,2024-11-18,Organic,North,2024-11
317,2024-04-04,Paid Search,West,2024-04
318,2024-04-14,Referral,North,2024-04
319,2024-01-10,Referral,South,2024-01
320,2023-01-22,Organic,South,2023-01
321,2024-10-31,Paid Search,West,2024-10
322,2023-02-07,Paid Search,South,2023-02
323,2023-08-18,Paid Search,North,2023-08
324,2023-12-31,Paid Search,North,2023-12
325,2024-07-16,Paid Search,South,2024-07
326,2024-03-13,Organic,West,2024-03
327,2023-10-10,Organic,North,2023-10
328,2023-01-27,Paid Search,North,2023-01
329,2023-08-14,Paid Search,East,2023-08
330,2023-10-04,Paid Search,West,2023-10
331,2024-08-31,Paid Search,East,2024-08
332,2023-10-11,Referral,South,2023-10
333,2024-04-25,Paid Search,South,2024-04
334,2024-03-28,Paid Search,East,2024-03
335,2024-10-20,Paid Search,West,2024-10
336,2024-05-30,Referral,North,2024-05
337,2024-06-30,Organic,South,2024-06
338,2023-07-11,Paid Search,West,2023-07
339,2023-02-18,Organic,West,2023-02
340,2024-05-26,Organic,South,2024-05
341,2023-01-17,Social,South,2023-01
342,2023-06-21,Paid Search,West,2023-06
343,2023-08-08,Referral,North,2023-08
344,2023-06-07,Social,East,2023-06
345,2024-04-21,Social,South,2024-04
346,2023-02-15,Organic,East,2023-02
347,2024-01-08,Organic,West,2024-01
348,2024-06-01,Paid Search,East,2024-06
349,2023-04-09,Referral,North,2023-04
350,2023-02-06,Organic,West,2023-02
351,2023-10-07,Organic,North,2023-10
352,2023-12-15,Paid Search,West,2023-12
353,2024-05-11,Organic,North,2024-05
354,2023-10-29,Referral,West,2023-10
355,2023-06-30,Paid Search,North,2023-06
356,2024-08-29,Referral,West,2024-08
357,2023-04-09,Organic,North,2023-04
358,2024-11-30,Referral,West,2024-11
359,2023-04-26,Paid Search,North,2023-04
360,2023-07-10,Paid Search,South,2023-07
361,2023-09-10,Social,East,2023-09
362,2023-06-10,Paid Search,West,2023-06
363,2023-09-13,Referral,North,2023-09
364,2023-11-19,Organic,South,2023-11
365,2023-05-08,Organic,West,2023-05
366,2023-01-18,Paid Search,West,2023-01
367,2024-07-19,Organic,West,2024-07
368,2024-07-23,Paid Search,East,2024-07
369,2023-11-19,Paid Search,North,2023-11
370,2024-11-16,Paid Search,North,2024-11
371,2024-09-17,Paid Search,West,2024-09
372,2023-10-15,Social,West,2023-10
373,2024-10-24,Social,West,2024-10
374,2024-09-30,Paid Search,South,2024-09
375,2023-06-04,Organic,West,2023-06
376,2024-05-04,Paid Search,East,2024-05
377,2024-01-21,Organic,North,2024-01
378,2023-04-14,Referral,East,2023-04
379,2024-01-28,Social,West,2024-01
380,2023-09-03,Paid Search,South,2023-09
381,2023-06-25,Referral,West,2023-06
382,2023-02-08,Paid Search,West,2023-02
383,2024-04-21,Social,West,2024-04
384,2024-11-12,Paid Search,West,2024-11
385,2024-06-21,Organic,West,2024-06
386,2024-02-12,Organic,North,2024-02
387,2024-06-08,Organic,East,2024-06
388,2024-05-20,Paid Search,South,2024-05
389,2023-02-05,Social,West,2023-02
390,2024-11-15,Paid Search,South,2024-11
391,2023-01-20,Organic,North,2023-01
392,2023-11-17,Paid Search,East,2023-11
393,2024-05-26,Paid Search,West,2024-05
394,2024-02-04,Organic,North,2024-02
395,2024-10-15,Paid Search,North,2024-10
396,2024-04-15,Paid Search,East,2024-04
397,2023-05-23,Paid Search,West,2023-05
398,2023-04-02,Paid Search,East,2023-04
399,2023-12-20,Referral,East,2023-12
400,2024-12-27,Referral,South,2024-12
401,2023-02-20,Paid Search,South,2023-02
402,2024-10-26,Paid Search,East,2024-10
403,2024-11-28,Paid Search,South,2024-11
404,2024-07-28,Paid Search,North,2024-07
405,2023-07-09,Organic,East,2023-07
406,2023-05-05,Organic,West,2023-05
407,2023-05-30,Paid Search,West,2023-05
408,2023-11-10,Paid Search,North,2023-11
409,2024-07-23,Paid Search,West,2024-07
410,2023-12-08,Referral,West,2023-12
411,2023-11-01,Social,East,2023-11
412,2024-11-22,Paid Search,North,2024-11
413,2024-11-12,Paid Search,East,2024-11
414,2023-02-23,Referral,North,2023-02
415,2024-03-19,Social,East,2024-03
416,2024-09-04,Paid Search,East,2024-09
417,2023-09-21,Paid Search,South,2023-09
418,2023-02-22,Paid Search,West,2023-02
419,2024-07-25,Organic,North,2024-07
420,2024-09-11,Paid Search,West,2024-09
421,2023-01-05,Paid Search,South,2023-01
422,2023-04-13,Organic,North,2023-04
423,2023-07-15,Paid Search,South,2023-07
424,2023-12-16,Referral,West,2023-12
425,2023-02-16,Paid Search,East,2023-02
426,2024-10-17,Paid Search,South,2024-10
427,2023-09-26,Organic,South,2023-09
428,2024-01-05,Paid Search,East,2024-01
429,2024-09-27,Social,West,2024-09
430,2023-04-16,Organic,South,2023-04
431,2024-10-31,Paid Search,West,2024-10
432,2024-10-20,Organic,East,2024-10
433,2024-10-18,Paid Search,North,2024-10
434,2023-04-30,Social,South,2023-04
435,2024-08-26,Paid Search,West,2024-08
436,2023-02-27,Organic,East,2023-02
437,2023-12-12,Paid Search,East,2023-12
438,2024-04-18,Paid Search,South,2024-04
439,2023-04-27,Referral,North,2023-04
440,2023-05-07,Referral,South,2023-05
441,2024-01-28,Paid Search,West,2024-01
442,2024-10-02,Paid Search,East,2024-10
443,2023-02-27,Referral,North,2023-02
444,2024-09-25,Social,West,2024-09
445,2024-05-27,Paid Search,South,2024-05
446,2023-04-06,Organic,East,2023-04
447,2024-09-29,Paid Search,South,2024-09
448,2023-04-28,Referral,North,2023-04
449,2024-07-13,Paid Search,North,2024-07
450,2024-08-23,Paid Search,North,2024-08
451,2024-05-02,Referral,North,2024-05
452,2023-08-25,Paid Search,North,2023-08
453,2023-09-29,Organic,South,2023-09
454,2023-07-08,Paid Search,North,2023-07
455,2024-12-04,Paid Search,North,2024-12
456,2024-03-22,Paid Search,East,2024-03
457,2024-08-03,Organic,North,2024-08
458,2023-09-04,Paid Search,East,2023-09
459,2023-03-17,Organic,East,2023-03
460,2023-06-03,Referral,East,2023-06
461,2024-10-17,Referral,South,2024-10
462,2024-03-10,Paid Search,South,2024-03
463,2023-03-27,Paid Search,West,2023-03
464,2024-11-27,Paid Search,West,2024-11
465,2023-10-12,Paid Search,East,2023-10
466,2023-08-08,Paid Search,South,2023-08
467,2023-03-10,Organic,North,2023-03
468,2023-02-16,Paid Search,West,2023-02
469,2023-04-04,Paid Search,South,2023-04
470,2024-03-28,Paid Search,North,2024-03
471,2023-07-23,Organic,North,2023-07
472,2023-08-06,Paid Search,South,2023-08
473,2024-04-18,Organic,West,2024-04
474,2024-03-07,Paid Search,South,2024-03
475,2023-12-07,Referral,West,2023-12
476,2024-07-04,Referral,East,2024-07
477,2024-09-03,Paid Search,South,2024-09
478,2023-10-16,Paid Search,South,2023-10
479,2023-09-11,Paid Search,West,2023-09
480,2023-12-23,Paid Search,West,2023-12
481,2023-01-23,Organic,South,2023-01
482,2024-06-05,Referral,North,2024-06
483,2023-04-10,Organic,North,2023-04
484,2023-06-29,Referral,North,2023-06
485,2023-08-11,Paid Search,East,2023-08
486,2024-10-20,Paid Search,East,2024-10
487,2024-03-17,Organic,West,2024-03
488,2024-08-30,Paid Search,East,2024-08
489,2023-11-21,Organic,North,2023-11
490,2024-05-30,Paid Search,South,2024-05
491,2023-01-16,Paid Search,East,2023-01
492,2023-12-02,Social,East,2023-12
493,2023-09-15,Paid Search,North,2023-09
494,2024-05-11,Social,East,2024-05
495,2023-06-09,Social,West,2023-06
496,2024-04-19,Referral,South,2024-04
497,2024-10-25,Organic,North,2024-10
498,2024-11-20,Organic,West,2024-11
499,2024-11-05,Referral,North,2024-11
500,2024-01-15,Paid Search,West,2024-01
501,2024-06-28,Organic,South,2024-06
502,2024-11-21,Organic,South,2024-11
503,2024-03-02,Paid Search,West,2024-03
504,2024-09-04,Paid Search,West,2024-09
505,2023-09-25,Paid Search,West,2023-09
506,2024-07-30,Organic,West,2024-07
507,2024-02-21,Referral,West,2024-02
508,2023-06-17,Paid Search,West,2023-06
509,2023-02-12,Social,South,2023-02
510,2024-07-09,Organic,West,2024-07
511,2023-10-12,Referral,East,2023-10
512,2024-02-01,Organic,South,2024-02
513,2023-01-12,Referral,North,2023-01
514,2024-08-29,Paid Search,South,2024-08
515,2023-10-29,Referral,North,2023-10
516,2023-09-10,Paid Search,North,2023-09
517,2024-05-13,Referral,East,2024-05
518,2023-02-04,Social,West,2023-02
519,2024-12-27,Paid Search,West,2024-12
520,2023-03-31,Paid Search,South,2023-03
521,2024-08-27,Referral,West,2024-08
522,2024-08-24,Paid Search,East,2024-08
523,2024-02-22,Referral,South,2024-02
524,2023-04-25,Paid Search,South,2023-04
525,2024-09-08,Paid Search,South,2024-09
526,2023-07-15,Social,West,2023-07
527,2024-05-15,Organic,West,2024-05
528,2024-09-17,Referral,West,2024-09
529,2024-05-07,Paid Search,South,2024-05
530,2023-03-16,Organic,South,2023-03
531,2024-02-17,Organic,North,2024-02
532,2024-01-11,Organic,North,2024-01
533,2024-02-24,Organic,West,2024-02
534,2024-12-29,Organic,South,2024-12
535,2023-10-04,Paid Search,West,2023-10
536,2024-11-06,Paid Search,West,2024-11
537,2024-01-29,Referral,North,2024-01
538,2024-04-01,Paid Search,East,2024-04
539,2023-07-11,Organic,West,2023-07
540,2024-11-19,Paid Search,East,2024-11
541,2023-04-09,Organic,East,2023-04
542,2024-07-01,Organic,South,2024-07
543,2023-04-06,Paid Search,South,2023-04
544,2024-10-25,Paid Search,West,2024-10
545,2024-10-24,Paid Search,North,2024-10
546,2023-07-09,Organic,North,2023-07
547,2023-02-06,Referral,West,2023-02
548,2024-01-04,Paid Search,West,2024-01
549,2024-11-25,Organic,North,2024-11
550,2024-06-08,Paid Search,East,2024-06
551,2023-10-06,Organic,West,2023-10
552,2023-08-05,Social,East,2023-08
553,2023-09-30,Paid Search,West,2023-09
554,2023-03-03,Organic,West,2023-03
555,2024-08-18,Paid Search,East,2024-08
556,2024-12-29,Paid Search,East,2024-12
557,2023-12-08,Paid Search,North,2023-12
558,2024-02-01,Paid Search,West,2024-02
559,2024-11-29,Organic,South,2024-11
560,2023-01-19,Paid Search,South,2023-01
561,2023-06-26,Organic,West,2023-06
562,2024-09-03,Paid Search,West,2024-09
563,2024-01-31,Paid Search,West,2024-01
564,2024-03-20,Organic,East,2024-03
565,2023-08-21,Social,South,2023-08
566,2023-03-17,Paid Search,South,2023-03
567,2023-09-22,Referral,South,2023-09
568,2024-03-30,Organic,West,2024-03
569,2024-12-18,Organic,East,2024-12
570,2024-01-19,Organic,West,2024-01
571,2024-07-17,Paid Search,North,2024-07
572,2024-05-20,Paid Search,North,2024-05
573,2024-01-02,Organic,South,2024-01
574,2023-05-24,Paid Search,West,2023-05
575,2023-03-10,Social,North,2023-03
576,2023-04-09,Paid Search,North,2023-04
577,2024-01-31,Paid Search,West,2024-01
578,2023-01-25,Organic,East,2023-01
579,2024-04-13,Paid Search,West,2024-04
580,2024-04-28,Organic,West,2024-04
581,2024-07-18,Organic,East,2024-07
582,2023-05-31,Social,South,2023-05
583,2023-05-24,Referral,South,2023-05
584,2024-07-22,Organic,South,2024-07
585,2023-02-08,Organic,East,2023-02
586,2023-04-19,Social,North,2023-04
587,2024-11-23,Paid Search,East,2024-11
588,2023-02-11,Paid Search,West,2023-02
589,2023-07-05,Paid Search,East,2023-07
590,2024-02-02,Paid Search,North,2024-02
591,2023-08-11,Organic,North,2023-08
592,2024-09-25,Organic,West,2024-09
593,2023-05-13,Organic,South,2023-05
594,2023-06-12,Paid Search,North,2023-06
595,2023-08-03,Organic,North,2023-08
596,2023-08-23,Paid Search,North,2023-08
597,2024-10-19,Organic,West,2024-10
598,2024-08-10,Organic,North,2024-08
599,2023-01-09,Paid Search,South,2023-01
600,2023-03-15,Paid Search,West,2023-03
601,2024-05-06,Paid Search,South,2024-05
602,2023-09-10,Referral,North,2023-09
603,2023-08-18,Social,North,2023-08
604,2024-06-02,Organic,South,2024-06
605,2023-06-23,Paid Search,West,2023-06
606,2024-10-14,Paid Search,West,2024-10
607,2023-06-17,Organic,South,2023-06
608,2023-06-19,Referral,North,2023-06
609,2024-01-28,Paid Search,East,2024-01
610,2024-09-25,Paid Search,South,2024-09
611,2023-07-13,Organic,South,2023-07
612,2024-05-31,Paid Search,South,2024-05
613,2023-01-29,Paid Search,North,2023-01
614,2023-06-14,Paid Search,West,2023-06
615,2024-02-26,Organic,North,2024-02
616,2023-12-05,Referral,South,2023-12
617,2024-10-09,Social,North,2024-10
618,2024-05-10,Organic,North,2024-05
619,2023-12-31,Organic,South,2023-12
620,2023-12-08,Paid Search,North,2023-12
621,2024-05-14,Organic,East,2024-05
622,2024-10-18,Paid Search,North,2024-10
623,2024-05-25,Organic,North,2024-05
624,2023-11-23,Paid Search,West,2023-11
625,2023-08-05,Paid Search,West,2023-08
626,2023-10-28,Paid Search,South,2023-10
627,2023-05-12,Paid Search,South,2023-05
628,2023-03-11,Paid Search,West,2023-03
629,2023-09-09,Paid Search,East,2023-09
630,2024-02-19,Social,North,2024-02
631,2024-03-20,Paid Search,East,2024-03
632,2023-07-01,Organic,East,2023-07
633,2023-06-16,Referral,West,2023-06
634,2023-04-01,Social,South,2023-04
635,2024-12-14,Organic,North,2024-12
636,2024-06-14,Referral,South,2024-06
637,2023-02-08,Paid Search,East,2023-02
638,2023-05-06,Paid Search,East,2023-05
639,2024-03-26,Paid Search,South,2024-03
640,2023-06-22,Organic,South,2023-06
641,2024-10-14,Organic,West,2024-10
642,2023-08-08,Paid Search,South,2023-08
643,2024-09-29,Paid Search,South,2024-09
644,2023-02-27,Organic,West,2023-02
645,2024-10-21,Paid Search,South,2024-10
646,2024-04-20,Organic,East,2024-04
647,2024-03-31,Organic,South,2024-03
648,2023-12-27,Organic,North,2023-12
649,2023-01-01,Referral,East,2023-01
650,2024-01-22,Referral,West,2024-01
651,2023-12-14,Organic,East,2023-12
652,2023-07-09,Organic,West,2023-07
653,2024-05-19,Organic,North,2024-05
654,2023-07-10,Paid Search,North,2023-07
655,2024-05-22,Paid Search,East,2024-05
656,2024-01-04,Paid Search,South,2024-01
657,2024-02-13,Paid Search,East,2024-02
658,2023-04-27,Organic,East,2023-04
659,2023-05-14,Referral,North,2023-05
660,2023-02-27,Paid Search,West,2023-02
661,2024-07-09,Paid Search,East,2024-07
662,2024-11-15,Social,South,2024-11
663,2024-11-02,Paid Search,North,2024-11
664,2023-06-22,Organic,East,2023-06
665,2023-05-29,Organic,East,2023-05
666,2023-03-21,Organic,South,2023-03
667,2023-08-01,Paid Search,East,2023-08
668,2023-07-22,Paid Search,East,2023-07
