order_id,variable_cost,delivery_cost,support_cost,total_cost
71,23.93,26.37,5.84,56.14
72,49.86,22.21,50.47,122.53999999999999
73,24.98,8.52,8.4,41.9
74,15.04,14.86,12.58,42.48
75,22.1,19.21,4.31,45.620000000000005
76,23.68,20.22,8.48,52.379999999999995
77,16.73,24.98,7.94,49.65
78,18.49,9.19,3.45,31.13
79,28.64,6.38,1.34,36.36000000000001
80,36.37,25.29,29.78,91.44
81,115.0,20.26,5.83,141.09
82,30.37,9.82,9.44,49.629999999999995
83,14.62,14.63,2.38,31.63
84,20.6,23.98,3.11,47.69
85,20.06,18.66,21.66,60.379999999999995
86,42.08,17.34,8.57,67.99000000000001
87,75.35,23.34,5.13,103.82
88,17.71,21.39,16.29,55.39
89,87.19,27.7,6.57,121.46000000000001
90,22.31,17.52,15.65,55.48
91,67.54,22.24,8.02,97.8
92,70.39,14.76,15.44,100.59
93,23.53,7.79,17.5,48.82
94,25.74,23.48,35.0,84.22
95,78.12,12.44,4.1,94.66
96,22.98,13.97,18.37,55.32000000000001
97,24.03,10.89,12.2,47.120000000000005
98,22.88,9.21,15.36,47.45
99,21.83,9.43,12.89,44.15
100,24.96,22.05,5.04,52.050000000000004
101,56.36,8.78,11.04,76.18
102,126.03,11.2,8.86,146.08999999999997
103,12.82,18.52,4.55,35.89
104,62.64,25.22,3.75,91.61
105,22.35,17.77,19.68,59.800000000000004
106,17.45,22.13,4.56,44.14
107,23.48,15.71,5.21,44.4
108,38.78,16.39,2.68,57.85
109,18.1,13.26,3.59,34.95
110,14.27,16.94,10.34,41.55
111,19.42,12.22,3.6,35.24
112,16.51,20.11,8.4,45.02
113,29.76,17.84,4.63,52.230000000000004
114,17.77,11.95,6.65,36.37
115,10.69,21.96,23.94,56.59
116,33.58,28.62,23.45,85.65
117,11.23,22.86,1.32,35.410000000000004
118,141.76,13.25,6.7,161.70999999999998
119,76.36,14.26,6.53,97.15
120,23.55,18.32,8.89,50.760000000000005
121,82.34,17.75,12.71,112.80000000000001
122,36.5,10.23,8.46,55.190000000000005
123,83.74,11.11,5.3,100.14999999999999
124,23.13,17.33,21.95,62.41
125,30.62,16.29,20.24,67.14999999999999
126,18.56,14.67,10.15,43.379999999999995
127,12.44,13.52,48.12,74.08
128,24.24,15.12,8.54,47.9
129,19.15,16.33,1.24,36.72
130,44.01,28.33,1.13,73.47
131,40.41,19.78,8.12,68.31
132,27.02,11.7,10.6,49.32
133,31.58,18.22,5.98,55.78
134,26.47,15.34,12.74,54.550000000000004
135,71.08,11.94,43.86,126.88
136,64.93,23.65,4.03,92.61000000000001
137,39.1,14.03,13.04,66.17
138,23.5,12.24,6.17,41.910000000000004
139,127.35,16.86,5.42,149.62999999999997
140,68.31,16.95,3.27,88.53
141,26.63,18.78,10.8,56.209999999999994
142,40.92,20.12,5.4,66.44000000000001
143,39.51,12.21,7.93,59.65
144,34.21,18.27,6.9,59.38
145,25.33,20.77,34.33,80.42999999999999
146,23.08,17.78,2.0,42.86
147,17.69,10.97,16.08,44.74
148,80.64,15.34,47.66,143.64
149,50.4,13.44,7.58,71.42
150,60.91,18.3,9.0,88.21
151,41.17,20.97,3.59,65.73
152,23.53,23.11,6.14,52.78
153,32.19,27.9,7.97,68.06
154,15.32,16.95,13.51,45.779999999999994
155,68.68,20.56,6.72,95.96000000000001
156,48.81,15.59,11.3,75.7
157,23.07,11.4,3.68,38.15
158,43.89,13.48,4.0,61.370000000000005
159,81.04,29.43,17.99,128.46
160,48.0,20.83,28.66,97.49
161,12.33,11.56,10.4,34.29
162,13.06,12.88,50.14,76.08
163,29.4,20.75,3.53,53.68
164,15.69,15.18,4.25,35.12
165,106.33,23.95,34.77,165.05
166,12.67,17.83,16.18,46.68
167,18.33,14.32,324.0,356.65
168,26.01,20.84,2.56,49.410000000000004
169,138.1,16.4,3.68,158.18
170,61.1,30.28,5.27,96.64999999999999
171,14.98,21.57,44.2,80.75
172,32.4,14.18,3.17,49.75
173,49.89,11.67,22.92,84.48
174,18.39,9.14,6.64,34.17
175,109.32,12.16,33.35,154.82999999999998
176,22.77,14.82,25.53,63.120000000000005
177,10.92,13.72,2.58,27.22
178,89.43,12.03,5.63,107.09
179,79.55,12.03,21.93,113.50999999999999
180,31.1,30.41,6.29,67.80000000000001
181,73.9,16.94,2.8,93.64
182,18.38,13.56,7.68,39.62
183,23.97,12.74,23.58,60.29
184,24.51,18.37,14.42,57.300000000000004
185,128.59,17.95,14.07,160.60999999999999
186,38.11,18.16,16.7,72.97
187,14.65,13.93,81.26,109.84
188,47.03,23.37,151.3,221.70000000000002
189,36.24,13.19,4.67,54.1
190,67.37,21.81,1.76,90.94000000000001
191,31.39,23.62,3.05,58.06
192,34.16,14.54,24.51,73.21
193,58.83,10.77,6.29,75.89
194,38.31,20.33,6.01,64.65
195,67.07,19.97,53.41,140.45
196,18.69,16.43,16.34,51.46000000000001
197,24.66,10.76,10.77,46.19
198,70.14,13.62,14.61,98.37
199,53.98,12.98,3.62,70.58
200,28.71,17.52,2.29,48.52
201,34.35,12.77,16.97,64.09
202,22.77,10.59,8.7,42.06
203,19.18,25.23,9.46,53.87
204,21.12,17.71,16.17,55.0
205,54.33,16.25,38.59,109.17
206,74.29,19.84,16.62,110.75000000000001
207,19.47,14.44,4.76,38.669999999999995
208,15.07,15.48,3.75,34.3
209,116.23,11.75,48.03,176.01
210,27.22,15.31,5.45,47.980000000000004
211,29.72,24.86,22.52,77.1
212,32.71,17.13,3.41,53.25
213,24.23,16.39,17.87,58.49000000000001
214,34.13,19.61,4.04,57.78
215,61.31,15.92,1.83,79.06
216,26.44,20.85,8.96,56.25000000000001
217,21.65,16.93,1.62,40.199999999999996
218,19.96,8.03,1.62,29.610000000000003
219,18.95,20.24,4.5,43.69
220,91.47,25.22,12.1,128.79
221,23.39,17.21,9.26,49.86
222,28.85,10.67,27.96,67.48
223,19.2,11.75,4.08,35.03
224,65.87,13.3,42.34,121.51
225,108.73,14.48,3.05,126.26
226,28.41,12.55,9.98,50.94
227,27.74,16.92,23.9,68.56
228,14.98,13.05,27.23,55.260000000000005
229,28.48,19.83,2.11,50.42
230,18.18,10.36,17.32,45.86
231,18.63,20.48,4.56,43.67
232,31.96,13.21,20.75,65.92
233,12.7,21.05,9.44,43.19
234,41.04,12.2,7.98,61.22
235,15.4,23.17,110.29,148.86
236,58.91,15.45,6.88,81.24
237,22.46,14.49,5.22,42.17
238,68.61,23.84,1.53,93.98
239,15.83,19.42,15.32,50.57
240,73.83,28.69,3.01,105.53
241,29.1,20.15,20.8,70.05
242,49.05,22.48,0.8,72.33
243,26.4,16.16,14.78,57.34
244,28.67,18.87,7.93,55.470000000000006
245,24.12,10.5,11.45,46.07000000000001
246,24.24,25.72,30.76,80.72
247,71.99,10.83,10.17,92.99
248,35.89,20.39,7.99,64.27
249,54.85,23.57,3.33,81.75
250,14.83,14.08,20.03,48.94
251,36.0,8.48,1.37,45.85
252,41.6,10.12,9.55,61.269999999999996
253,104.4,17.76,2.1,124.26
254,103.06,18.16,71.39,192.61
255,21.6,20.67,9.15,51.42
256,52.64,16.14,19.33,88.11
257,43.12,22.78,2.57,68.47
258,87.58,8.89,4.08,100.55
259,29.11,27.18,6.04,62.33
260,16.84,17.7,33.69,68.22999999999999
261,52.0,8.43,3.45,63.88
262,24.57,19.49,8.08,52.14
263,64.03,24.94,13.87,102.84
264,17.98,11.25,11.22,40.45
265,12.99,17.83,8.74,39.56
266,63.5,10.67,34.82,108.99000000000001
267,42.74,18.3,21.41,82.45
268,40.89,18.46,7.26,66.61
269,25.74,14.08,1.39,41.21
270,59.67,30.12,2.56,92.35000000000001
271,55.96,24.86,6.31,87.13
272,20.93,17.32,2.93,41.18
273,53.96,12.86,2.71,69.52999999999999
274,30.92,18.75,3.76,53.43
275,39.65,8.58,1.84,50.07
276,17.41,22.44,25.27,65.12
277,57.44,18.33,82.5,158.26999999999998
278,40.91,19.75,67.4,128.06
279,63.95,14.3,2.55,80.8
280,30.05,18.36,8.03,56.44
281,39.28,20.66,0.48,60.419999999999995
282,81.62,17.98,13.55,113.15
283,48.89,19.14,5.22,73.25
284,29.13,14.34,4.46,47.93
285,86.03,18.57,20.19,124.78999999999999
286,85.22,10.53,12.32,108.07
287,67.01,19.19,4.52,90.72
288,150.93,19.55,25.87,196.35000000000002
289,18.03,18.45,2.94,39.42
290,120.7,22.04,13.21,155.95000000000002
291,93.85,11.77,17.73,123.35
292,34.58,14.48,42.99,92.05000000000001
293,33.11,12.18,10.64,55.93
294,29.1,31.7,15.58,76.38
295,18.15,21.8,8.8,48.75
296,66.68,13.87,9.43,89.98000000000002
297,27.47,14.44,21.01,62.92
298,22.95,13.03,61.2,97.18
299,31.91,19.66,12.18,63.75
300,17.48,15.5,29.56,62.540000000000006
301,37.03,23.19,3.42,63.64
302,108.72,18.78,7.88,135.38
303,24.38,29.59,14.78,68.75
304,23.95,8.46,38.2,70.61
305,75.56,26.95,2.0,104.51
306,41.22,15.76,2.34,59.31999999999999
307,170.56,9.57,14.83,194.96
308,17.21,14.61,3.3,35.12
309,22.48,18.15,12.61,53.239999999999995
310,137.49,15.81,4.22,157.52
311,22.21,9.7,5.54,37.45
312,36.01,16.36,0.87,53.239999999999995
313,71.59,22.44,32.95,126.98
314,25.58,7.66,2.91,36.14999999999999
315,23.51,14.67,7.27,45.45
316,93.47,19.33,13.06,125.86
317,12.82,22.03,61.3,96.15
318,35.44,26.6,2.99,65.03
319,15.68,16.46,8.28,40.42
320,46.71,19.88,8.98,75.57000000000001
321,17.56,13.87,16.08,47.51
322,21.02,24.42,1.39,46.83
323,24.91,26.24,10.27,61.42
324,20.9,22.26,10.62,53.779999999999994
325,18.0,11.01,22.89,51.9
326,15.43,24.16,2.71,42.300000000000004
327,25.41,20.32,4.92,50.650000000000006
328,19.44,17.68,29.62,66.74000000000001
329,27.6,10.26,1.3,39.16
330,44.25,17.51,2.36,64.12
331,19.07,22.91,3.26,45.24
332,68.68,24.4,33.72,126.80000000000001
333,31.37,15.81,9.02,56.2
334,89.81,12.89,16.01,118.71000000000001
335,16.2,10.3,8.8,35.3
336,24.07,9.98,2.87,36.919999999999995
337,36.83,26.34,13.7,76.87
338,29.92,17.64,18.18,65.74000000000001
339,44.45,22.94,7.28,74.67
340,25.29,23.74,16.21,65.24000000000001
341,13.67,14.79,4.14,32.6
342,20.28,17.14,29.65,67.07
343,28.24,25.89,0.83,54.959999999999994
344,22.6,8.31,3.74,34.650000000000006
345,141.99,16.94,1.55,160.48000000000002
346,61.14,17.51,11.52,90.17
347,15.32,18.31,4.53,38.16
348,146.62,8.21,8.79,163.62
349,29.8,12.93,4.02,46.75
350,36.5,25.75,15.5,77.75
351,37.79,16.95,5.77,60.50999999999999
352,24.22,24.59,21.84,70.65
353,52.69,16.51,15.15,84.35000000000001
354,29.65,17.69,4.54,51.88
355,68.44,16.65,8.22,93.31
356,38.78,10.69,49.09,98.56
357,43.56,14.71,481.23,539.5
358,63.18,9.36,72.67,145.20999999999998
359,81.73,17.1,29.92,128.75
360,32.31,19.02,21.74,73.07
361,47.45,9.94,3.56,60.95
362,47.0,13.74,6.03,66.77
363,75.46,18.27,3.2,96.92999999999999
364,16.16,12.18,14.96,43.3
365,26.36,19.17,14.22,59.75
366,44.64,26.18,6.92,77.74
367,56.04,21.73,5.79,83.56
368,14.49,21.0,2.25,37.74
369,29.59,30.11,4.35,64.05
370,11.43,15.6,19.32,46.35
371,55.79,21.29,20.31,97.39
372,62.0,16.11,14.7,92.81
373,24.31,19.01,5.87,49.19
374,77.66,22.04,2.63,102.32999999999998
375,21.71,19.58,6.85,48.14
376,14.1,10.11,4.19,28.400000000000002
377,46.54,8.7,2.08,57.31999999999999
378,25.65,7.41,10.02,43.08
379,52.06,10.08,3.74,65.88
380,53.08,18.35,5.74,77.17
381,40.14,16.67,4.14,60.95
382,28.71,26.54,2.54,57.79
383,22.13,11.44,3.17,36.74
384,76.18,15.65,22.89,114.72000000000001
385,22.95,7.84,5.1,35.89
386,18.48,10.15,4.51,33.14
387,29.58,24.99,6.0,60.56999999999999
388,17.51,14.08,0.6,32.190000000000005
389,112.85,11.13,29.92,153.89999999999998
390,32.15,8.79,5.59,46.53
391,65.63,18.29,3.51,87.42999999999999
392,17.56,18.21,4.51,40.279999999999994
393,43.2,15.89,11.26,70.35000000000001
394,71.03,25.55,12.78,109.36
395,22.73,24.83,4.39,51.95
396,28.42,19.29,3.12,50.83
397,26.92,24.61,12.09,63.620000000000005
398,62.43,15.82,10.01,88.26
399,13.23,7.45,11.67,32.35
400,20.84,20.31,11.02,52.17
401,28.07,17.6,10.5,56.17
402,79.47,6.07,1.14,86.67999999999999
403,64.15,23.21,0.74,88.10000000000001
404,41.3,22.61,4.38,68.28999999999999
405,20.96,20.46,2.19,43.61
406,154.8,16.82,31.25,202.87
407,30.16,8.24,35.45,73.85
408,40.84,6.95,2.53,50.32000000000001
409,15.64,24.08,3.57,43.29
410,70.39,25.11,3.37,98.87
411,8.82,19.06,6.15,34.03
412,22.23,21.67,4.36,48.260000000000005
413,28.61,17.21,8.29,54.11
414,22.48,23.01,4.57,50.06
415,34.45,12.22,4.24,50.910000000000004
416,15.65,9.77,12.15,37.57
417,23.3,17.03,3.63,43.96
418,15.28,14.98,13.36,43.62
419,21.38,26.16,4.81,52.35
420,26.84,7.67,2.01,36.519999999999996
421,18.87,17.48,15.79,52.14
422,78.89,8.01,8.62,95.52000000000001
423,20.94,18.75,3.31,43.0
424,37.29,22.2,7.88,67.36999999999999
425,14.64,19.39,1.2,35.230000000000004
426,18.7,20.35,29.98,69.03
427,66.81,20.34,9.07,96.22
428,44.82,14.54,3.13,62.49
429,42.48,29.14,1.39,73.01
430,78.84,12.25,8.17,99.26
431,17.6,15.0,3.95,36.550000000000004
432,15.75,23.52,3.8,43.06999999999999
433,53.21,11.37,73.47,138.05
434,26.16,15.14,0.99,42.29
435,16.2,19.61,3.1,38.910000000000004
436,119.49,21.43,12.33,153.25
437,84.35,10.19,4.55,99.08999999999999
438,47.7,13.5,8.5,69.7
439,21.44,13.31,64.34,99.09
440,19.94,18.82,5.39,44.150000000000006
441,31.09,11.72,16.99,59.8
442,31.53,8.16,2.55,42.239999999999995
443,17.75,9.96,5.35,33.06
444,69.14,24.01,0.84,93.99000000000001
445,25.05,8.74,2.69,36.48
446,22.16,9.1,27.96,59.22
447,18.2,14.49,4.13,36.82
448,10.84,11.43,9.22,31.490000000000002
449,67.61,16.88,5.13,89.61999999999999
450,25.52,22.49,1.66,49.669999999999995
451,28.56,19.75,8.26,56.57
452,25.64,23.97,10.41,60.019999999999996
453,14.73,15.76,1.67,32.160000000000004
454,58.38,18.06,7.74,84.17999999999999
455,36.66,19.94,4.14,60.739999999999995
456,21.54,15.68,9.66,46.879999999999995
457,18.4,11.55,7.03,36.98
458,56.74,19.29,53.58,129.61
459,19.28,13.39,3.24,35.910000000000004
460,11.44,25.59,4.14,41.17
461,17.72,10.6,7.89,36.21
462,73.01,9.73,1.88,84.62
463,18.87,11.92,16.36,47.15
464,96.74,25.3,3.67,125.71
465,19.29,12.88,24.39,56.56
466,17.56,22.05,11.03,50.64
467,33.36,9.54,39.39,82.28999999999999
468,18.55,21.8,1.43,41.78
469,32.34,12.87,3.74,48.95
470,35.23,11.54,5.35,52.12
471,29.66,16.27,4.29,50.22
472,122.92,11.69,3.63,138.24
473,20.79,7.8,30.49,59.08
474,36.34,13.56,15.41,65.31
475,57.8,8.31,11.5,77.61
476,40.19,23.07,34.31,97.57
477,68.79,8.83,3.18,80.80000000000001
478,25.79,17.65,23.41,66.85
479,24.36,19.15,2.23,45.739999999999995
480,33.75,24.65,4.54,62.94
481,18.86,26.77,15.53,61.16
482,23.44,10.49,8.31,42.24
483,36.85,11.25,6.73,54.83
484,25.23,16.96,5.06,47.25
485,38.94,17.2,16.06,72.2
486,80.92,11.73,2.78,95.43
487,62.8,13.2,2.83,78.83
488,22.32,9.12,19.97,51.41
489,31.97,17.78,3.63,53.38
490,84.07,11.51,4.43,100.00999999999999
491,83.8,13.23,1.94,98.97
492,16.38,27.26,32.83,76.47
493,31.33,19.63,25.92,76.88
494,10.73,17.61,3.53,31.87
495,15.33,12.92,2.12,30.37
496,68.72,17.83,46.45,133.0
497,21.88,26.8,13.05,61.730000000000004
498,32.28,12.57,13.17,58.02
499,13.44,14.57,88.2,116.21000000000001
500,25.31,11.31,42.36,78.97999999999999
501,15.56,14.23,19.08,48.87
502,65.05,15.08,20.27,100.39999999999999
503,38.47,23.16,34.05,95.67999999999999
504,39.36,13.82,8.14,61.32
505,14.28,10.19,1.39,25.86
506,13.41,26.14,6.4,45.949999999999996
507,22.27,14.74,2.94,39.949999999999996
508,11.47,17.88,2.42,31.770000000000003
509,24.42,21.72,2.54,48.68
510,18.34,12.18,13.23,43.75
511,39.67,13.23,50.98,103.88
512,23.66,26.75,24.84,75.25
513,27.65,15.02,1.16,43.83
514,18.71,10.58,6.96,36.25
515,17.75,10.78,3.28,31.810000000000002
516,48.69,31.0,14.99,94.67999999999999
517,13.44,20.25,16.64,50.33
518,127.76,9.31,8.01,145.07999999999998
519,19.18,8.95,15.81,43.94
520,23.39,9.07,6.13,38.59
521,16.78,11.24,11.74,39.760000000000005
522,90.98,11.37,9.93,112.28
523,27.89,18.91,7.49,54.29
524,16.15,14.74,19.75,50.64
525,48.79,10.31,0.66,59.76
526,23.51,14.98,19.52,58.010000000000005
527,14.5,19.4,12.89,46.79
528,96.85,22.27,7.32,126.44
529,12.45,14.1,10.27,36.81999999999999
530,23.0,16.39,1.48,40.87
531,37.11,14.16,8.85,60.12
532,17.1,26.22,75.87,119.19
533,22.77,17.4,17.57,57.74
534,50.55,10.94,3.84,65.33
535,50.68,15.68,3.91,70.27
536,41.57,20.72,7.38,69.67
537,13.31,15.04,5.64,33.99
538,39.19,15.3,3.2,57.69
539,23.45,18.25,25.95,67.65
540,13.95,26.05,22.13,62.129999999999995
541,183.8,14.01,4.27,202.08
542,62.35,21.96,2.2,86.51
543,22.87,12.82,1.27,36.96
544,15.11,10.64,6.55,32.3
545,43.23,8.96,3.28,55.47
546,48.97,22.94,6.87,78.78
547,58.69,13.07,9.99,81.74999999999999
548,27.48,23.48,6.37,57.33
549,42.59,10.51,24.94,78.04
550,37.66,14.29,2.41,54.36
551,17.28,24.22,3.83,45.33
552,38.65,14.96,0.77,54.38
553,33.8,11.13,5.56,50.49
554,21.68,14.94,28.71,65.33
555,23.93,14.4,22.49,60.81999999999999
556,22.19,16.95,6.52,45.66
557,89.39,22.68,4.07,116.13999999999999
558,26.37,17.36,12.17,55.900000000000006
559,78.19,8.65,5.14,91.98
560,57.24,16.76,5.56,79.56
561,62.32,18.89,24.89,106.10000000000001
562,56.12,22.58,8.64,87.33999999999999
563,26.55,14.23,186.85,227.63
564,21.19,16.92,3.91,42.019999999999996
565,47.4,12.73,6.18,66.31
566,90.34,13.9,7.57,111.81
567,44.58,13.47,17.49,75.53999999999999
568,35.35,28.07,6.8,70.22
569,27.33,16.06,11.24,54.63
570,54.28,9.02,1.56,64.86
571,28.89,10.96,18.2,58.05
572,43.08,9.38,2.63,55.09
573,21.9,26.51,4.8,53.209999999999994
574,88.8,9.66,14.03,112.49
575,36.73,16.31,12.89,65.92999999999999
576,16.96,30.22,1.68,48.86
577,23.36,20.46,3.58,47.4
578,40.29,18.01,8.01,66.31
579,33.54,10.55,8.44,52.53
580,52.79,27.37,7.49,87.64999999999999
581,30.48,13.14,3.66,47.28
582,22.73,18.57,9.22,50.519999999999996
583,57.68,7.05,1.69,66.42
584,35.42,27.09,21.61,84.12
585,43.63,22.44,7.47,73.54
586,16.85,19.8,39.88,76.53
587,59.96,18.36,16.05,94.36999999999999
588,33.99,8.72,14.42,57.13
589,65.5,23.2,10.89,99.59
590,17.17,11.35,4.29,32.81
591,42.1,24.29,9.24,75.63
592,75.26,21.66,1.54,98.46000000000001
593,76.13,17.26,3.11,96.5
594,78.06,9.55,1.95,89.56
595,19.18,13.77,11.09,44.040000000000006
596,34.45,18.93,3.02,56.400000000000006
597,26.32,7.41,11.28,45.010000000000005
598,20.48,14.8,5.54,40.82
599,20.96,23.02,1.28,45.260000000000005
600,21.42,15.96,4.07,41.45
601,34.91,20.96,4.8,60.669999999999995
602,20.15,17.59,13.81,51.55
603,14.39,9.04,4.28,27.71
604,34.1,19.13,19.85,73.08000000000001
605,31.02,11.7,21.63,64.35
606,38.9,14.95,2.64,56.489999999999995
607,48.4,13.37,5.08,66.85
608,110.01,14.2,4.48,128.69
609,83.1,15.02,33.03,131.14999999999998
610,89.55,20.4,3.21,113.15999999999998
611,102.83,19.7,4.17,126.7
612,69.58,14.94,14.8,99.32
613,14.18,22.99,13.23,50.400000000000006
614,27.02,17.33,10.11,54.459999999999994
615,44.45,8.42,6.91,59.78
616,91.69,9.58,7.71,108.97999999999999
617,16.08,27.22,0.97,44.269999999999996
618,88.93,8.62,10.47,108.02000000000001
619,12.96,12.12,27.99,53.06999999999999
620,17.96,14.9,86.79,119.65
621,41.14,20.24,8.41,69.78999999999999
622,33.64,9.27,36.66,79.57
623,52.81,14.3,2.18,69.29
624,41.68,17.07,8.89,67.64
625,18.88,26.42,15.21,60.51
626,87.37,13.66,17.05,118.08
627,83.17,17.87,10.6,111.64
628,112.55,15.62,9.63,137.79999999999998
629,39.69,17.02,2.74,59.449999999999996
630,54.26,10.02,9.7,73.98
631,11.55,21.83,4.7,38.08
632,56.96,11.82,18.44,87.22
633,16.76,19.26,17.74,53.760000000000005
634,19.12,27.55,11.6,58.27
635,110.11,8.53,1.83,120.47
636,46.58,21.89,1.13,69.6
637,124.21,18.87,5.08,148.16
638,54.55,9.02,11.24,74.80999999999999
639,19.03,17.31,3.46,39.800000000000004
640,105.64,22.91,3.14,131.69
641,35.28,12.34,16.24,63.86
642,35.44,6.81,4.87,47.12
643,18.54,21.3,2.71,42.550000000000004
644,43.78,10.73,1.1,55.61000000000001
645,126.04,10.78,67.0,203.82
646,52.06,20.38,5.23,77.67
647,122.47,12.13,2.4,137.0
648,55.87,8.13,6.4,70.4
649,94.79,26.22,3.12,124.13000000000001
650,28.45,28.08,4.16,60.69
651,119.06,10.54,21.86,151.45999999999998
652,28.21,14.22,2.02,44.45
653,26.24,13.69,0.92,40.85
654,31.1,13.76,4.36,49.22
655,29.67,20.54,2.87,53.08
656,16.93,9.03,29.59,55.55
657,23.33,23.65,12.6,59.58
658,49.85,18.04,14.13,82.02
659,30.25,9.28,5.74,45.27
660,74.96,18.04,0.82,93.82
661,80.7,19.39,6.0,106.09
662,53.89,10.81,11.25,75.95
663,75.6,8.62,16.87,101.09
664,32.37,6.26,218.42,257.04999999999995
665,60.36,16.71,8.12,85.19
666,36.44,17.15,4.95,58.54
667,39.26,22.11,19.28,80.65
668,19.35,14.01,3.75,37.11
669,40.9,9.98,7.64,58.519999999999996
670,19.37,14.79,1.32,35.48
671,24.56,9.71,4.99,39.26
672,17.72,20.87,7.36,45.95
673,16.65,28.09,16.45,61.19
674,54.4,17.83,17.65,89.88
675,35.08,14.07,6.63,55.78
676,18.75,19.24,8.8,46.78999999999999
677,26.01,9.97,13.7,49.68000000000001
678,17.35,18.09,8.31,43.75
679,30.46,22.67,21.47,74.6
680,27.96,20.63,3.95,52.540000000000006
681,19.75,28.91,6.34,55.0
682,58.49,13.3,3.13,74.92
683,11.29,8.99,15.64,35.92
684,18.59,12.49,28.5,59.58
685,24.59,18.78,20.49,63.86
686,44.19,21.37,1.76,67.32000000000001
687,34.53,13.22,45.01,92.75999999999999
688,27.36,12.98,22.19,62.53
689,23.75,14.33,12.99,51.07
690,25.5,21.78,8.54,55.82
691,40.78,17.46,5.1,63.34
692,20.95,28.91,25.03,74.89
693,118.36,19.09,2.6,140.04999999999998
694,31.0,7.84,22.37,61.21000000000001
695,23.9,23.72,32.61,80.22999999999999
696,17.99,28.36,3.06,49.41
697,142.9,16.5,7.38,166.78
698,81.78,19.41,1.64,102.83
699,101.24,15.92,16.37,133.53
700,46.26,16.52,4.47,67.25
701,15.63,12.53,11.68,39.84
702,19.69,25.24,10.84,55.769999999999996
703,14.75,14.56,2.15,31.46
704,21.03,22.74,3.69,47.459999999999994
705,30.46,11.71,104.94,147.11
706,23.96,18.64,2.97,45.57
707,67.31,13.48,6.29,87.08000000000001
708,20.17,17.36,13.22,50.75
709,25.11,11.2,6.07,42.38
710,38.37,8.59,16.45,63.41
711,34.96,13.47,2.13,50.56
712,22.21,23.87,14.03,60.11
713,15.67,8.81,4.52,29.0
714,18.81,14.3,0.58,33.69
715,23.08,19.72,14.15,56.949999999999996
716,117.58,18.7,5.36,141.64000000000001
717,96.76,23.96,5.49,126.21
718,35.4,17.88,15.04,68.32
719,19.1,19.31,30.72,69.13
720,21.55,9.06,7.63,38.24
721,31.28,17.26,5.86,54.400000000000006
722,18.33,27.81,3.08,49.22
723,60.45,26.96,9.96,97.37
724,33.53,15.49,3.54,52.56
725,27.1,12.82,7.03,46.95
726,79.2,10.41,16.2,105.81
