customer_id,acquisition_channel,lifetime_margin,lifetime_revenue,total_orders,active_months,is_churned,ltv_bucket
40,Paid Search,22.64999999999999,494.78000000000003,7,3,1,Low (0–50)
41,Paid Search,136.02,988.6700000000001,12,7,1,Healthy (50–150)
42,Referral,-79.12999999999998,499.97,5,11,0,Deep Loss (<-50)
43,Organic,194.13,715.21,8,1,1,High (>150)
44,Paid Search,-128.78,550.0699999999999,7,8,0,Deep Loss (<-50)
45,Paid Search,403.97,4180.85,46,4,1,High (>150)
46,Referral,1.9000000000000057,564.18,6,7,0,Low (0–50)
47,Paid Search,-107.06,604.03,7,1,1,Deep Loss (<-50)
48,Paid Search,-6.940000000000001,807.8299999999999,11,3,1,Loss (-50–0)
49,Organic,-80.28,739.57,10,9,0,Deep Loss (<-50)
50,Social,-108.02,603.84,8,10,1,Deep Loss (<-50)
51,Paid Search,-606.78,3892.24,48,2,0,Deep Loss (<-50)
52,Referral,-98.9,791.22,10,11,0,Deep Loss (<-50)
53,Organic,7.3700000000000045,354.07,4,2,0,Low (0–50)
54,Paid Search,-35.08,344.22,5,11,0,Loss (-50–0)
55,Organic,-84.47,228.75,4,7,1,Deep Loss (<-50)
56,Social,-110.12,251.91,4,10,0,Deep Loss (<-50)
57,Paid Search,-43.849999999999994,539.02,8,4,1,Loss (-50–0)
58,Paid Search,102.95,755.18,9,1,1,Healthy (50–150)
59,Social,296.02,1141.18,14,3,1,High (>150)
60,Organic,106.6,937.73,10,3,1,Healthy (50–150)
61,Paid Search,-49.36,180.47,4,2,1,Loss (-50–0)
62,Organic,157.65,756.19,9,1,1,High (>150)
63,Organic,60.19,747.3000000000001,8,12,0,Healthy (50–150)
64,Referral,95.15,565.25,6,1,1,Healthy (50–150)
65,Social,35.910000000000004,435.6,5,16,0,Low (0–50)
66,Paid Search,-39.32000000000001,273.95,4,1,1,Loss (-50–0)
67,Paid Search,45.739999999999995,378.69,5,19,0,Low (0–50)
68,Organic,-274.43,611.2,9,24,0,Deep Loss (<-50)
69,Paid Search,27.73,484.48,8,3,1,Low (0–50)
70,Organic,-76.59,652.65,8,24,0,Deep Loss (<-50)
71,Paid Search,-21.37,229.07,4,12,0,Loss (-50–0)
72,Paid Search,-13.550000000000008,631.35,7,1,1,Loss (-50–0)
73,Organic,51.379999999999995,901.95,10,24,0,Healthy (50–150)
74,Organic,-149.82999999999998,291.39,5,1,1,Deep Loss (<-50)
75,Referral,17.200000000000003,710.62,11,1,1,Low (0–50)
76,Organic,-45.370000000000005,972.13,13,7,0,Loss (-50–0)
77,Paid Search,60.790000000000006,626.25,7,1,1,Healthy (50–150)
78,Paid Search,40.89,465.73999999999995,5,1,1,Low (0–50)
79,Referral,-16.89,714.53,10,24,0,Loss (-50–0)
80,Paid Search,30.95000000000001,1033.24,9,19,1,Low (0–50)
81,Organic,18.229999999999997,945.97,11,13,0,Low (0–50)
82,Organic,-144.58,475.45,7,5,1,Deep Loss (<-50)
83,Paid Search,-84.99,338.94,7,14,0,Deep Loss (<-50)
84,Referral,-20.32,320.99,5,1,1,Loss (-50–0)
85,Paid Search,24.779999999999998,918.3,10,17,0,Low (0–50)
86,Organic,60.11,433.49,5,3,1,Healthy (50–150)
87,Paid Search,-48.56,997.69,12,12,0,Loss (-50–0)
88,Paid Search,72.96000000000001,506.41999999999996,6,6,1,Healthy (50–150)
89,Organic,39.0,429.35,5,24,0,Low (0–50)
90,Organic,0.1399999999999988,415.83000000000004,6,17,0,Low (0–50)
91,Organic,108.23,547.17,7,18,1,Healthy (50–150)
92,Organic,-140.53,2782.7,36,7,0,Deep Loss (<-50)
93,Organic,91.38000000000002,994.9200000000001,11,15,0,Healthy (50–150)
94,Paid Search,159.20999999999998,4937.38,61,8,1,High (>150)
95,Organic,19.589999999999996,758.1,9,1,1,Low (0–50)
96,Organic,-23.04,530.26,8,8,1,Loss (-50–0)
97,Paid Search,4.57,378.65999999999997,7,1,1,Low (0–50)
98,Organic,-109.53,461.65,7,17,0,Deep Loss (<-50)
99,Social,175.55,804.53,9,1,1,High (>150)
100,Paid Search,34.41,912.97,11,19,1,Low (0–50)
101,Social,71.99000000000001,394.78,4,3,1,Healthy (50–150)
102,Paid Search,-111.82,382.90999999999997,7,1,1,Deep Loss (<-50)
103,Paid Search,-57.93,457.83000000000004,7,16,0,Deep Loss (<-50)
104,Paid Search,31.91,783.78,10,1,1,Low (0–50)
105,Organic,6.279999999999998,697.15,7,5,0,Low (0–50)
106,Paid Search,144.35,765.9,7,8,1,Healthy (50–150)
107,Referral,-113.74999999999999,526.88,9,3,1,Deep Loss (<-50)
108,Referral,14.269999999999996,738.7,10,7,0,Low (0–50)
109,Organic,-13.249999999999993,845.31,10,9,1,Loss (-50–0)
110,Organic,79.6,805.23,8,24,0,Healthy (50–150)
111,Social,41.620000000000005,436.28999999999996,4,1,1,Low (0–50)
112,Referral,44.68999999999999,594.31,8,1,1,Low (0–50)
113,Organic,63.23,781.31,6,5,0,Healthy (50–150)
114,Organic,-77.14999999999999,545.92,5,4,0,Deep Loss (<-50)
115,Organic,-147.84,897.3199999999999,13,4,1,Deep Loss (<-50)
116,Organic,153.91,1069.25,10,2,1,High (>150)
117,Paid Search,-108.29999999999998,647.95,9,4,0,Deep Loss (<-50)
118,Organic,131.31,907.95,10,18,0,Healthy (50–150)
119,Paid Search,56.14,1046.28,12,1,1,Healthy (50–150)
120,Paid Search,18.57,614.1,7,1,1,Low (0–50)
121,Organic,35.49,545.92,5,8,0,Low (0–50)
122,Social,-43.86999999999999,5000.4,56,1,1,Loss (-50–0)
123,Social,91.18,946.27,12,7,1,Healthy (50–150)
124,Organic,52.669999999999995,638.97,8,3,1,Healthy (50–150)
125,Organic,197.95,849.9,10,3,1,High (>150)
126,Paid Search,-226.35,733.29,13,3,1,Deep Loss (<-50)
127,Organic,9.850000000000001,873.26,9,3,1,Low (0–50)
128,Paid Search,-10.629999999999999,646.35,7,11,0,Loss (-50–0)
129,Paid Search,399.32,4130.2,52,18,1,High (>150)
130,Organic,71.14999999999999,465.32,6,6,1,Healthy (50–150)
131,Paid Search,25.9,544.98,7,4,1,Low (0–50)
132,Paid Search,41.110000000000014,572.0,7,1,1,Low (0–50)
133,Referral,-97.6,447.52,8,11,1,Deep Loss (<-50)
134,Paid Search,-62.61000000000001,992.71,13,5,1,Deep Loss (<-50)
135,Paid Search,4.120000000000001,637.69,6,1,0,Low (0–50)
136,Paid Search,113.19999999999999,1043.28,11,1,1,Healthy (50–150)
137,Paid Search,-350.04,3702.61,57,1,1,Deep Loss (<-50)
138,Paid Search,-49.99,776.83,8,1,1,Loss (-50–0)
139,Referral,119.0,778.6800000000001,8,10,1,Healthy (50–150)
140,Paid Search,-153.49,440.13,7,16,0,Deep Loss (<-50)
141,Referral,-244.98,583.38,9,13,0,Deep Loss (<-50)
142,Paid Search,250.86,1490.9299999999998,13,4,1,High (>150)
143,Organic,136.07,739.15,7,4,1,Healthy (50–150)
144,Organic,-4.360000000000005,796.25,11,3,1,Loss (-50–0)
145,Organic,38.470000000000006,678.97,8,7,1,Low (0–50)
146,Organic,150.06,912.5,12,3,1,High (>150)
147,Social,-368.0,521.22,11,1,1,Deep Loss (<-50)
148,Paid Search,-98.56,492.65999999999997,7,5,1,Deep Loss (<-50)
149,Organic,172.34,884.62,7,3,1,High (>150)
150,Referral,-55.519999999999996,680.11,9,1,1,Deep Loss (<-50)
151,Paid Search,-95.31000000000002,718.32,10,1,1,Deep Loss (<-50)
152,Paid Search,53.72,575.49,8,1,1,Healthy (50–150)
153,Paid Search,-0.9500000000000006,201.89,4,4,1,Loss (-50–0)
154,Organic,25.900000000000002,591.52,7,3,1,Low (0–50)
155,Paid Search,-66.58999999999999,991.0799999999999,11,1,0,Deep Loss (<-50)
156,Paid Search,40.91,336.38,5,1,1,Low (0–50)
157,Organic,11.850000000000001,608.98,8,1,1,Low (0–50)
158,Organic,58.379999999999995,981.87,13,24,0,Healthy (50–150)
159,Paid Search,-171.73,529.61,9,2,1,Deep Loss (<-50)
160,Paid Search,-132.34,305.06,6,1,1,Deep Loss (<-50)
161,Organic,75.06,1200.79,12,8,1,Healthy (50–150)
162,Social,79.07,642.01,7,1,1,Healthy (50–150)
163,Organic,-6.850000000000001,739.25,10,6,1,Loss (-50–0)
164,Referral,-85.31,663.08,8,1,1,Deep Loss (<-50)
165,Paid Search,-176.95,646.4,11,19,1,Deep Loss (<-50)
166,Paid Search,24.23,416.22,5,19,0,Low (0–50)
167,Organic,-142.05,709.7900000000001,10,8,1,Deep Loss (<-50)
168,Referral,-32.25,465.05,7,11,1,Loss (-50–0)
169,Organic,95.02000000000001,561.56,7,4,1,Healthy (50–150)
170,Referral,38.96000000000001,686.53,7,24,0,Low (0–50)
171,Social,60.330000000000005,1394.32,13,3,1,Healthy (50–150)
172,Paid Search,7.7799999999999905,639.74,9,1,1,Low (0–50)
173,Paid Search,84.44,657.3000000000001,7,1,1,Healthy (50–150)
174,Paid Search,127.76999999999998,1113.41,11,1,1,Healthy (50–150)
175,Paid Search,20.81,441.14,5,4,1,Low (0–50)
176,Paid Search,37.74999999999999,837.31,10,1,1,Low (0–50)
177,Referral,-1.7999999999999972,549.1899999999999,6,10,0,Loss (-50–0)
178,Paid Search,6.359999999999999,635.14,5,2,1,Low (0–50)
179,Paid Search,-20.749999999999993,763.11,8,13,0,Loss (-50–0)
180,Paid Search,-28.959999999999997,472.88,9,4,1,Loss (-50–0)
181,Social,356.89,3710.5,41,6,1,High (>150)
182,Organic,134.15,784.96,9,6,1,Healthy (50–150)
183,Social,-39.480000000000004,317.21999999999997,6,16,0,Loss (-50–0)
184,Social,27.75,803.24,8,1,1,Low (0–50)
185,Organic,-71.66999999999999,688.59,11,1,1,Deep Loss (<-50)
186,Paid Search,-99.71,395.61,7,7,0,Deep Loss (<-50)
187,Paid Search,-557.4,4511.35,54,8,0,Deep Loss (<-50)
188,Paid Search,-11.94,448.63,6,3,1,Loss (-50–0)
189,Organic,61.00000000000001,613.44,8,3,1,Healthy (50–150)
190,Paid Search,113.16999999999999,662.13,9,1,1,Healthy (50–150)
191,Paid Search,-150.16000000000003,737.4100000000001,10,1,1,Deep Loss (<-50)
192,Organic,119.25,996.55,11,20,0,Healthy (50–150)
193,Organic,96.91000000000001,568.35,6,2,0,Healthy (50–150)
194,Organic,66.55,995.79,8,8,0,Healthy (50–150)
195,Paid Search,94.14,612.09,8,9,1,Healthy (50–150)
196,Referral,-258.86,641.41,11,1,1,Deep Loss (<-50)
197,Organic,-53.15000000000002,2844.62,37,1,1,Deep Loss (<-50)
198,Paid Search,-819.34,3210.1,45,2,0,Deep Loss (<-50)
199,Referral,-21.47,476.46000000000004,6,11,0,Loss (-50–0)
200,Social,-146.5,284.36,6,1,1,Deep Loss (<-50)
201,Paid Search,-51.91,587.53,6,1,1,Deep Loss (<-50)
202,Paid Search,211.47,3495.85,45,1,1,High (>150)
203,Organic,5.049999999999997,340.19,5,1,1,Low (0–50)
204,Paid Search,-47.01,350.46000000000004,5,1,1,Loss (-50–0)
205,Referral,-73.47,220.26,4,3,1,Deep Loss (<-50)
206,Paid Search,230.75,1002.82,13,1,1,High (>150)
207,Referral,50.980000000000004,516.1700000000001,6,11,1,Healthy (50–150)
208,Organic,87.21999999999998,756.9,7,2,1,Healthy (50–150)
209,Organic,119.32000000000001,698.6800000000001,7,8,1,Healthy (50–150)
210,Paid Search,305.02,4078.5,56,5,1,High (>150)
211,Paid Search,7.090000000000002,138.09,2,14,0,Low (0–50)
212,Paid Search,-111.73,206.96,3,1,1,Deep Loss (<-50)
213,Paid Search,-35.30999999999998,849.74,10,1,1,Loss (-50–0)
214,Paid Search,82.82,497.33,6,12,1,Healthy (50–150)
215,Referral,-148.39000000000001,365.84000000000003,5,16,0,Deep Loss (<-50)
216,Paid Search,-170.05,890.16,13,1,1,Deep Loss (<-50)
217,Referral,174.92,1327.06,12,1,1,High (>150)
218,Paid Search,-1.3599999999999994,493.38,5,12,0,Loss (-50–0)
219,Referral,-138.11,494.26,9,1,1,Deep Loss (<-50)
220,Social,32.709999999999994,927.25,9,15,0,Low (0–50)
221,Paid Search,-151.38,875.51,13,19,0,Deep Loss (<-50)
222,Referral,1.3299999999999983,495.21999999999997,6,1,1,Low (0–50)
223,Organic,-163.34,289.09000000000003,5,15,1,Deep Loss (<-50)
224,Referral,223.04999999999998,3842.17,43,5,1,High (>150)
225,Organic,-132.63,387.61,8,13,1,Deep Loss (<-50)
226,Paid Search,78.29999999999998,1053.25,11,3,1,Healthy (50–150)
227,Paid Search,95.71000000000001,896.1,9,1,0,Healthy (50–150)
228,Paid Search,-16.35,851.17,10,7,1,Loss (-50–0)
229,Organic,26.52,457.17,7,1,1,Low (0–50)
230,Social,-132.41,273.51,5,19,0,Deep Loss (<-50)
231,Organic,122.42,739.0899999999999,7,4,0,Healthy (50–150)
232,Paid Search,-76.35,447.03,6,1,1,Deep Loss (<-50)
233,Referral,-94.62,628.41,8,2,1,Deep Loss (<-50)
234,Referral,-65.47999999999999,694.72,8,18,0,Deep Loss (<-50)
235,Paid Search,-7.259999999999998,997.18,15,2,1,Loss (-50–0)
236,Paid Search,-55.15,478.07,6,12,0,Deep Loss (<-50)
237,Paid Search,24.49,584.78,8,1,1,Low (0–50)
238,Referral,-74.8,250.4,4,6,1,Deep Loss (<-50)
239,Referral,16.18,724.96,10,20,0,Low (0–50)
240,Paid Search,94.44,553.89,6,1,1,Healthy (50–150)
241,Paid Search,25.6,375.73,4,1,0,Low (0–50)
242,Referral,-439.81999999999994,3841.14,52,23,0,Deep Loss (<-50)
243,Social,155.75,1041.83,10,6,0,High (>150)
244,Referral,48.620000000000005,434.21999999999997,5,12,1,Low (0–50)
245,Organic,13.929999999999993,587.45,5,15,1,Low (0–50)
246,Paid Search,-37.03,781.9,9,4,0,Loss (-50–0)
247,Organic,79.93,1155.73,12,15,0,Healthy (50–150)
248,Paid Search,-198.23000000000002,469.0,8,6,0,Deep Loss (<-50)
249,Referral,87.51,1028.29,12,11,0,Healthy (50–150)
250,Paid Search,-61.760000000000005,656.38,7,1,1,Deep Loss (<-50)
251,Referral,7.6000000000000085,935.5,12,24,0,Low (0–50)
252,Paid Search,-0.7299999999999898,400.25,6,9,1,Loss (-50–0)
253,Referral,-146.49,884.27,11,2,1,Deep Loss (<-50)
254,Paid Search,135.37,661.47,6,4,1,Healthy (50–150)
255,Paid Search,-82.17,388.87,7,2,1,Deep Loss (<-50)
256,Organic,94.46000000000001,744.03,8,8,1,Healthy (50–150)
257,Paid Search,83.81,655.04,6,19,0,Healthy (50–150)
258,Social,43.07000000000001,410.91999999999996,5,1,1,Low (0–50)
259,Organic,42.169999999999995,696.51,8,24,0,Low (0–50)
260,Organic,-103.16000000000003,803.51,13,1,1,Deep Loss (<-50)
261,Referral,20.55,229.41,2,5,1,Low (0–50)
262,Referral,-286.87,489.58000000000004,9,6,0,Deep Loss (<-50)
263,Organic,127.67999999999999,880.58,10,2,1,Healthy (50–150)
264,Social,-117.52,346.74,5,5,1,Deep Loss (<-50)
265,Paid Search,52.1,659.83,6,11,0,Healthy (50–150)
266,Paid Search,-323.14,643.86,8,1,1,Deep Loss (<-50)
267,Organic,4.239999999999995,547.77,8,1,1,Low (0–50)
268,Paid Search,-146.13,1027.42,16,6,0,Deep Loss (<-50)
269,Organic,-84.34,479.8,7,12,1,Deep Loss (<-50)
270,Paid Search,-132.06,553.1,8,19,0,Deep Loss (<-50)
271,Paid Search,11.649999999999999,524.1899999999999,7,1,1,Low (0–50)
272,Referral,-10.32,416.19999999999993,5,22,0,Loss (-50–0)
273,Organic,-94.72,845.0,11,5,0,Deep Loss (<-50)
274,Social,103.39000000000001,1257.84,11,1,1,Healthy (50–150)
275,Referral,-122.25,485.1,8,24,0,Deep Loss (<-50)
276,Paid Search,-293.73,974.3399999999999,10,1,1,Deep Loss (<-50)
277,Paid Search,80.57,1149.25,10,8,0,Healthy (50–150)
278,Paid Search,44.93,518.14,5,9,0,Low (0–50)
279,Referral,15.769999999999998,612.17,7,5,1,Low (0–50)
280,Paid Search,-15.12,231.93,4,7,0,Loss (-50–0)
281,Paid Search,-20.150000000000006,498.52000000000004,6,4,0,Loss (-50–0)
282,Social,129.5,572.45,6,1,1,Healthy (50–150)
283,Organic,8.259999999999998,344.88,4,12,1,Low (0–50)
284,Paid Search,-11.92,377.44,6,16,1,Loss (-50–0)
285,Paid Search,-123.00999999999999,216.3,5,4,1,Deep Loss (<-50)
286,Referral,-44.080000000000005,492.9,6,24,0,Loss (-50–0)
287,Referral,70.4,994.17,10,5,1,Healthy (50–150)
288,Paid Search,-103.31,384.82,8,4,1,Deep Loss (<-50)
289,Paid Search,-104.19999999999999,317.08,5,6,1,Deep Loss (<-50)
290,Referral,-51.980000000000004,371.68,6,1,1,Deep Loss (<-50)
291,Referral,145.52,4099.04,55,22,1,Healthy (50–150)
292,Referral,128.35,653.75,7,15,1,Healthy (50–150)
293,Organic,-269.56,584.48,10,17,0,Deep Loss (<-50)
294,Social,-120.41000000000001,654.97,8,6,1,Deep Loss (<-50)
295,Paid Search,-10.720000000000002,783.59,8,13,1,Loss (-50–0)
296,Paid Search,-47.29,724.57,9,7,1,Loss (-50–0)
297,Organic,43.45,926.5600000000001,10,5,0,Low (0–50)
298,Organic,-0.29999999999999716,451.93,6,23,0,Loss (-50–0)
299,Referral,37.69999999999999,1071.57,10,5,1,Low (0–50)
300,Paid Search,144.22,999.49,13,4,1,Healthy (50–150)
301,Referral,77.08,784.07,9,1,1,Healthy (50–150)
302,Paid Search,65.0,908.3299999999999,11,18,0,Healthy (50–150)
303,Organic,-4.919999999999995,709.98,10,1,1,Loss (-50–0)
304,Paid Search,1.8999999999999966,402.65,7,1,1,Low (0–50)
305,Organic,-206.44,301.3,7,1,1,Deep Loss (<-50)
306,Organic,-325.84999999999997,1217.95,16,4,0,Deep Loss (<-50)
307,Paid Search,120.62,1015.62,11,1,1,Healthy (50–150)
308,Paid Search,-185.47000000000003,698.67,12,8,1,Deep Loss (<-50)
309,Organic,90.83,592.02,7,2,1,Healthy (50–150)
310,Referral,18.480000000000004,1434.57,17,12,1,Low (0–50)
311,Paid Search,146.32999999999998,968.22,11,1,1,Healthy (50–150)
312,Paid Search,190.66000000000003,1048.53,10,1,1,High (>150)
313,Paid Search,-46.19,864.85,11,10,1,Loss (-50–0)
314,Social,-93.4,876.44,12,2,0,Deep Loss (<-50)
315,Paid Search,22.950000000000003,544.22,7,1,1,Low (0–50)
316,Paid Search,-109.97,436.85,6,19,0,Deep Loss (<-50)
317,Referral,-16.169999999999995,530.41,6,1,1,Loss (-50–0)
318,Organic,171.17000000000002,814.74,11,1,1,High (>150)
319,Paid Search,-351.06,622.89,11,2,1,Deep Loss (<-50)
320,Social,-82.02000000000001,492.59000000000003,10,1,1,Deep Loss (<-50)
321,Organic,5.329999999999995,567.98,8,1,1,Low (0–50)
322,Organic,48.790000000000006,996.76,11,15,0,Low (0–50)
323,Paid Search,-6.350000000000001,423.27,7,1,1,Loss (-50–0)
324,Referral,134.60000000000002,611.49,6,1,1,Healthy (50–150)
325,Paid Search,-408.51,696.92,12,12,0,Deep Loss (<-50)
326,Paid Search,40.51,877.4,11,3,1,Low (0–50)
327,Paid Search,33.08,677.11,7,1,1,Low (0–50)
328,Referral,-148.83999999999997,619.68,8,7,1,Deep Loss (<-50)
329,Organic,24.269999999999996,817.9200000000001,10,1,1,Low (0–50)
330,Organic,194.58,832.37,9,4,1,High (>150)
331,Paid Search,119.6,583.29,7,5,1,Healthy (50–150)
332,Organic,52.25,894.05,10,24,0,Healthy (50–150)
333,Referral,164.12,910.65,10,3,1,High (>150)
334,Paid Search,-9.709999999999994,910.77,13,8,1,Loss (-50–0)
335,Referral,147.42000000000002,870.46,11,1,1,Healthy (50–150)
336,Paid Search,100.86,388.5,4,3,1,Healthy (50–150)
337,Referral,-49.459999999999994,1139.07,12,2,1,Loss (-50–0)
338,Paid Search,12.18,371.2,5,4,1,Low (0–50)
339,Organic,16.69,523.72,7,4,1,Low (0–50)
340,Social,-56.970000000000006,188.82,4,22,0,Deep Loss (<-50)
341,Social,-368.19,916.91,16,18,0,Deep Loss (<-50)
342,Paid Search,5.010000000000005,458.92999999999995,6,4,1,Low (0–50)
343,Paid Search,150.7,1023.35,11,1,1,High (>150)
344,Paid Search,110.88,491.76,4,4,1,Healthy (50–150)
345,Referral,23.209999999999994,498.64,5,15,0,Low (0–50)
346,Organic,-34.34,771.01,11,1,1,Loss (-50–0)
347,Paid Search,88.95,611.9300000000001,6,3,1,Healthy (50–150)
348,Paid Search,-2.2399999999999807,918.69,14,1,1,Loss (-50–0)
349,Social,191.79,1319.08,12,1,1,High (>150)
350,Organic,85.63999999999999,636.04,5,1,1,Healthy (50–150)
351,Paid Search,-198.33,4582.84,58,19,0,Deep Loss (<-50)
352,Paid Search,13.999999999999998,711.19,9,1,1,Low (0–50)
353,Paid Search,73.25999999999999,507.01,6,1,1,Healthy (50–150)
354,Organic,-153.82999999999998,846.48,10,24,0,Deep Loss (<-50)
355,Social,118.39,973.11,10,4,1,Healthy (50–150)
356,Referral,159.41,1061.28,11,13,0,High (>150)
357,Organic,63.18,632.29,9,3,1,Healthy (50–150)
358,Referral,30.65,369.7,3,7,1,Low (0–50)
359,Paid Search,-144.65,848.79,8,1,0,Deep Loss (<-50)
360,Paid Search,13.44,503.67,4,3,1,Low (0–50)
361,Social,-99.65,337.61,7,5,1,Deep Loss (<-50)
362,Paid Search,42.160000000000004,1138.73,14,4,1,Low (0–50)
363,Paid Search,-9.289999999999997,188.3,3,3,1,Loss (-50–0)
364,Social,103.19,849.35,10,11,0,Healthy (50–150)
365,Paid Search,-21.310000000000002,709.41,8,4,0,Loss (-50–0)
366,Referral,32.7,473.65,6,10,1,Low (0–50)
367,Social,-18.53,319.65999999999997,5,1,0,Loss (-50–0)
368,Organic,-52.330000000000005,350.32,5,16,0,Deep Loss (<-50)
369,Paid Search,-73.32,183.13,4,2,1,Deep Loss (<-50)
370,Paid Search,82.39,491.63,6,4,1,Healthy (50–150)
371,Paid Search,74.60000000000001,618.51,7,2,1,Healthy (50–150)
372,Paid Search,13.060000000000002,396.25,7,13,1,Low (0–50)
373,Referral,68.35,526.22,6,22,0,Healthy (50–150)
374,Paid Search,16.740000000000002,731.49,10,1,1,Low (0–50)
375,Paid Search,19.86,408.56,5,8,1,Low (0–50)
376,Organic,71.44,1257.71,12,1,1,Healthy (50–150)
377,Organic,-28.249999999999996,456.64,6,1,1,Loss (-50–0)
378,Referral,27.91,489.65999999999997,5,17,1,Low (0–50)
379,Paid Search,-80.15,401.5,7,1,1,Deep Loss (<-50)
380,Referral,23.650000000000002,619.77,8,1,1,Low (0–50)
381,Organic,-102.50000000000001,452.12,8,7,1,Deep Loss (<-50)
382,Paid Search,6.819999999999994,745.81,8,10,0,Low (0–50)
383,Paid Search,9.720000000000002,517.1800000000001,6,1,1,Low (0–50)
384,Paid Search,59.580000000000005,815.3,10,1,1,Healthy (50–150)
385,Organic,3.320000000000004,443.15,6,1,1,Low (0–50)
386,Paid Search,33.11,401.77,6,1,1,Low (0–50)
387,Social,25.310000000000002,685.54,10,1,1,Low (0–50)
388,Organic,42.16,983.18,14,24,0,Low (0–50)
389,Social,69.13,305.08,2,1,1,Healthy (50–150)
390,Paid Search,46.04,689.7,9,5,0,Low (0–50)
391,Paid Search,-60.239999999999995,727.8299999999999,8,16,0,Deep Loss (<-50)
392,Paid Search,-62.599999999999994,797.3199999999999,12,5,1,Deep Loss (<-50)
393,Paid Search,-28.859999999999978,1236.31,16,1,1,Loss (-50–0)
394,Referral,-103.75,319.42,4,8,0,Deep Loss (<-50)
395,Paid Search,42.980000000000004,228.81,4,14,0,Low (0–50)
396,Paid Search,-254.52999999999997,970.77,13,2,0,Deep Loss (<-50)
397,Paid Search,97.78999999999999,592.7,8,2,1,Healthy (50–150)
398,Paid Search,129.87,629.31,7,1,1,Healthy (50–150)
399,Referral,-25.18,368.35,7,6,0,Loss (-50–0)
400,Organic,-20.71,3729.79,48,2,1,Loss (-50–0)
401,Organic,75.81,456.35,8,11,1,Healthy (50–150)
402,Paid Search,-131.19,414.5,7,6,0,Deep Loss (<-50)
403,Social,-13.329999999999998,426.99,7,3,1,Loss (-50–0)
404,Organic,54.52,627.78,8,11,0,Healthy (50–150)
405,Paid Search,221.08,1420.65,12,1,1,High (>150)
406,Paid Search,51.42000000000001,854.04,7,8,0,Healthy (50–150)
407,Social,161.62,842.04,7,6,1,High (>150)
408,Organic,-4.350000000000001,403.9,5,7,1,Loss (-50–0)
409,Organic,-2.0999999999999988,341.2,4,1,1,Loss (-50–0)
410,Paid Search,1.0300000000000065,577.5,8,5,1,Low (0–50)
411,Paid Search,133.75,1394.02,12,4,1,Healthy (50–150)
412,Organic,-7.96,230.31,4,5,0,Loss (-50–0)
413,Organic,-37.01,487.63,7,3,0,Loss (-50–0)
414,Organic,-78.36,285.71,6,1,1,Deep Loss (<-50)
