customer_id,signup_date,acquisition_channel,region
287,2024-09-19,Referral,West
288,2024-08-09,Paid Search,East
289,2024-09-16,Paid Search,West
290,2024-02-24,Referral,South
291,2024-02-26,Referral,South
292,2023-04-14,Paid Search,East
293,2023-09-11,Organic,North
294,2023-08-15,Paid Search,East
295,2023-04-22,Social,South
296,2024-05-24,Paid Search,North
297,2024-04-17,Social,West
298,2023-04-09,Organic,South
299,2023-06-02,Organic,West
300,2023-12-04,Paid Search,North
301,2024-12-06,Organic,West
302,2023-06-12,Paid Search,South
303,2024-12-20,Paid Search,East
304,2024-11-11,Organic,West
305,2023-06-10,Social,South
306,2024-08-02,Organic,South
307,2024-02-02,Organic,North
308,2023-10-04,Paid Search,South
309,2024-05-18,Paid Search,East
310,2024-01-27,Paid Search,East
311,2023-05-15,Organic,West
312,2023-07-14,Social,West
313,2024-02-05,Organic,West
314,2024-10-01,Paid Search,West
315,2023-02-02,Paid Search,East
316,2024-11-18,Organic,North
317,2024-04-04,Paid Search,West
318,2024-04-14,Referral,North
319,2024-01-10,Referral,South
320,2023-01-22,Organic,South
321,2024-10-31,Paid Search,West
322,2023-02-07,Paid Search,South
323,2023-08-18,Paid Search,North
324,2023-12-31,Paid Search,North
325,2024-07-16,Paid Search,South
326,2024-03-13,Organic,West
327,2023-10-10,Organic,North
328,2023-01-27,Paid Search,North
329,2023-08-14,Paid Search,East
330,2023-10-04,Paid Search,West
331,2024-08-31,Paid Search,East
332,2023-10-11,Referral,South
333,2024-04-25,Paid Search,South
334,2024-03-28,Paid Search,East
335,2024-10-20,Paid Search,West
336,2024-05-30,Referral,North
337,2024-06-30,Organic,South
338,2023-07-11,Paid Search,West
339,2023-02-18,Organic,West
340,2024-05-26,Organic,South
341,2023-01-17,Social,South
342,2023-06-21,Paid Search,West
343,2023-08-08,Referral,North
344,2023-06-07,Social,East
345,2024-04-21,Social,South
346,2023-02-15,Organic,East
347,2024-01-08,Organic,West
348,2024-06-01,Paid Search,East
349,2023-04-09,Referral,North
350,2023-02-06,Organic,West
351,2023-10-07,Organic,North
352,2023-12-15,Paid Search,West
353,2024-05-11,Organic,North
354,2023-10-29,Referral,West
355,2023-06-30,Paid Search,North
356,2024-08-29,Referral,West
357,2023-04-09,Organic,North
358,2024-11-30,Referral,West
359,2023-04-26,Paid Search,North
360,2023-07-10,Paid Search,South
361,2023-09-10,Social,East
362,2023-06-10,Paid Search,West
363,2023-09-13,Referral,North
364,2023-11-19,Organic,South
365,2023-05-08,Organic,West
366,2023-01-18,Paid Search,West
367,2024-07-19,Organic,West
368,2024-07-23,Paid Search,East
369,2023-11-19,Paid Search,North
370,2024-11-16,Paid Search,North
371,2024-09-17,Paid Search,West
372,2023-10-15,Social,West
373,2024-10-24,Social,West
374,2024-09-30,Paid Search,South
375,2023-06-04,Organic,West
376,2024-05-04,Paid Search,East
377,2024-01-21,Organic,North
378,2023-04-14,Referral,East
379,2024-01-28,Social,West
380,2023-09-03,Paid Search,South
381,2023-06-25,Referral,West
382,2023-02-08,Paid Search,West
383,2024-04-21,Social,West
384,2024-11-12,Paid Search,West
385,2024-06-21,Organic,West
386,2024-02-12,Organic,North
387,2024-06-08,Organic,East
388,2024-05-20,Paid Search,South
389,2023-02-05,Social,West
390,2024-11-15,Paid Search,South
391,2023-01-20,Organic,North
392,2023-11-17,Paid Search,East
393,2024-05-26,Paid Search,West
394,2024-02-04,Organic,North
395,2024-10-15,Paid Search,North
396,2024-04-15,Paid Search,East
397,2023-05-23,Paid Search,West
398,2023-04-02,Paid Search,East
399,2023-12-20,Referral,East
400,2024-12-27,Referral,South
401,2023-02-20,Paid Search,South
402,2024-10-26,Paid Search,East
403,2024-11-28,Paid Search,South
404,2024-07-28,Paid Search,North
405,2023-07-09,Organic,East
406,2023-05-05,Organic,West
407,2023-05-30,Paid Search,West
408,2023-11-10,Paid Search,North
409,2024-07-23,Paid Search,West
410,2023-12-08,Referral,West
411,2023-11-01,Social,East
412,2024-11-22,Paid Search,North
413,2024-11-12,Paid Search,East
414,2023-02-23,Referral,North
415,2024-03-19,Social,East
416,2024-09-04,Paid Search,East
417,2023-09-21,Paid Search,South
418,2023-02-22,Paid Search,West
419,2024-07-25,Organic,North
420,2024-09-11,Paid Search,West
421,2023-01-05,Paid Search,South
422,2023-04-13,Organic,North
423,2023-07-15,Paid Search,South
424,2023-12-16,Referral,West
425,2023-02-16,Paid Search,East
426,2024-10-17,Paid Search,South
427,2023-09-26,Organic,South
428,2024-01-05,Paid Search,East
429,2024-09-27,Social,West
430,2023-04-16,Organic,South
431,2024-10-31,Paid Search,West
432,2024-10-20,Organic,East
433,2024-10-18,Paid Search,North
434,2023-04-30,Social,South
435,2024-08-26,Paid Search,West
436,2023-02-27,Organic,East
437,2023-12-12,Paid Search,East
438,2024-04-18,Paid Search,South
439,2023-04-27,Referral,North
440,2023-05-07,Referral,South
441,2024-01-28,Paid Search,West
442,2024-10-02,Paid Search,East
443,2023-02-27,Referral,North
444,2024-09-25,Social,West
445,2024-05-27,Paid Search,South
446,2023-04-06,Organic,East
447,2024-09-29,Paid Search,South
448,2023-04-28,Referral,North
449,2024-07-13,Paid Search,North
450,2024-08-23,Paid Search,North
451,2024-05-02,Referral,North
452,2023-08-25,Paid Search,North
453,2023-09-29,Organic,South
454,2023-07-08,Paid Search,North
455,2024-12-04,Paid Search,North
456,2024-03-22,Paid Search,East
457,2024-08-03,Organic,North
458,2023-09-04,Paid Search,East
459,2023-03-17,Organic,East
460,2023-06-03,Referral,East
461,2024-10-17,Referral,South
462,2024-03-10,Paid Search,South
463,2023-03-27,Paid Search,West
464,2024-11-27,Paid Search,West
465,2023-10-12,Paid Search,East
466,2023-08-08,Paid Search,South
467,2023-03-10,Organic,North
468,2023-02-16,Paid Search,West
469,2023-04-04,Paid Search,South
470,2024-03-28,Paid Search,North
471,2023-07-23,Organic,North
472,2023-08-06,Paid Search,South
473,2024-04-18,Organic,West
474,2024-03-07,Paid Search,South
475,2023-12-07,Referral,West
476,2024-07-04,Referral,East
477,2024-09-03,Paid Search,South
478,2023-10-16,Paid Search,South
479,2023-09-11,Paid Search,West
480,2023-12-23,Paid Search,West
481,2023-01-23,Organic,South
482,2024-06-05,Referral,North
483,2023-04-10,Organic,North
484,2023-06-29,Referral,North
485,2023-08-11,Paid Search,East
486,2024-10-20,Paid Search,East
487,2024-03-17,Organic,West
488,2024-08-30,Paid Search,East
489,2023-11-21,Organic,North
490,2024-05-30,Paid Search,South
491,2023-01-16,Paid Search,East
492,2023-12-02,Social,East
493,2023-09-15,Paid Search,North
494,2024-05-11,Social,East
495,2023-06-09,Social,West
496,2024-04-19,Referral,South
497,2024-10-25,Organic,North
498,2024-11-20,Organic,West
499,2024-11-05,Referral,North
500,2024-01-15,Paid Search,West
501,2024-06-28,Organic,South
502,2024-11-21,Organic,South
503,2024-03-02,Paid Search,West
504,2024-09-04,Paid Search,West
505,2023-09-25,Paid Search,West
506,2024-07-30,Organic,West
507,2024-02-21,Referral,West
508,2023-06-17,Paid Search,West
509,2023-02-12,Social,South
510,2024-07-09,Organic,West
511,2023-10-12,Referral,East
512,2024-02-01,Organic,South
513,2023-01-12,Referral,North
514,2024-08-29,Paid Search,South
515,2023-10-29,Referral,North
516,2023-09-10,Paid Search,North
517,2024-05-13,Referral,East
518,2023-02-04,Social,West
519,2024-12-27,Paid Search,West
520,2023-03-31,Paid Search,South
521,2024-08-27,Referral,West
522,2024-08-24,Paid Search,East
523,2024-02-22,Referral,South
524,2023-04-25,Paid Search,South
525,2024-09-08,Paid Search,South
526,2023-07-15,Social,West
527,2024-05-15,Organic,West
528,2024-09-17,Referral,West
529,2024-05-07,Paid Search,South
530,2023-03-16,Organic,South
531,2024-02-17,Organic,North
532,2024-01-11,Organic,North
533,2024-02-24,Organic,West
534,2024-12-29,Organic,South
535,2023-10-04,Paid Search,West
536,2024-11-06,Paid Search,West
537,2024-01-29,Referral,North
538,2024-04-01,Paid Search,East
539,2023-07-11,Organic,West
540,2024-11-19,Paid Search,East
541,2023-04-09,Organic,East
542,2024-07-01,Organic,South
543,2023-04-06,Paid Search,South
544,2024-10-25,Paid Search,West
545,2024-10-24,Paid Search,North
546,2023-07-09,Organic,North
547,2023-02-06,Referral,West
548,2024-01-04,Paid Search,West
549,2024-11-25,Organic,North
550,2024-06-08,Paid Search,East
551,2023-10-06,Organic,West
552,2023-08-05,Social,East
553,2023-09-30,Paid Search,West
554,2023-03-03,Organic,West
555,2024-08-18,Paid Search,East
556,2024-12-29,Paid Search,East
557,2023-12-08,Paid Search,North
558,2024-02-01,Paid Search,West
559,2024-11-29,Organic,South
560,2023-01-19,Paid Search,South
561,2023-06-26,Organic,West
562,2024-09-03,Paid Search,West
563,2024-01-31,Paid Search,West
564,2024-03-20,Organic,East
565,2023-08-21,Social,South
566,2023-03-17,Paid Search,South
567,2023-09-22,Referral,South
568,2024-03-30,Organic,West
569,2024-12-18,Organic,East
570,2024-01-19,Organic,West
571,2024-07-17,Paid Search,North
572,2024-05-20,Paid Search,North
573,2024-01-02,Organic,South
574,2023-05-24,Paid Search,West
575,2023-03-10,Social,North
576,2023-04-09,Paid Search,North
577,2024-01-31,Paid Search,West
578,2023-01-25,Organic,East
579,2024-04-13,Paid Search,West
580,2024-04-28,Organic,West
581,2024-07-18,Organic,East
582,2023-05-31,Social,South
583,2023-05-24,Referral,South
584,2024-07-22,Organic,South
585,2023-02-08,Organic,East
586,2023-04-19,Social,North
587,2024-11-23,Paid Search,East
588,2023-02-11,Paid Search,West
589,2023-07-05,Paid Search,East
590,2024-02-02,Paid Search,North
591,2023-08-11,Organic,North
592,2024-09-25,Organic,West
593,2023-05-13,Organic,South
594,2023-06-12,Paid Search,North
595,2023-08-03,Organic,North
596,2023-08-23,Paid Search,North
597,2024-10-19,Organic,West
598,2024-08-10,Organic,North
599,2023-01-09,Paid Search,South
600,2023-03-15,Paid Search,West
601,2024-05-06,Paid Search,South
602,2023-09-10,Referral,North
603,2023-08-18,Social,North
604,2024-06-02,Organic,South
605,2023-06-23,Paid Search,West
606,2024-10-14,Paid Search,West
607,2023-06-17,Organic,South
608,2023-06-19,Referral,North
609,2024-01-28,Paid Search,East
610,2024-09-25,Paid Search,South
611,2023-07-13,Organic,South
612,2024-05-31,Paid Search,South
613,2023-01-29,Paid Search,North
614,2023-06-14,Paid Search,West
615,2024-02-26,Organic,North
616,2023-12-05,Referral,South
617,2024-10-09,Social,North
618,2024-05-10,Organic,North
619,2023-12-31,Organic,South
620,2023-12-08,Paid Search,North
621,2024-05-14,Organic,East
622,2024-10-18,Paid Search,North
623,2024-05-25,Organic,North
624,2023-11-23,Paid Search,West
625,2023-08-05,Paid Search,West
626,2023-10-28,Paid Search,South
627,2023-05-12,Paid Search,South
628,2023-03-11,Paid Search,West
629,2023-09-09,Paid Search,East
630,2024-02-19,Social,North
631,2024-03-20,Paid Search,East
632,2023-07-01,Organic,East
633,2023-06-16,Referral,West
634,2023-04-01,Social,South
635,2024-12-14,Organic,North
636,2024-06-14,Referral,South
637,2023-02-08,Paid Search,East
638,2023-05-06,Paid Search,East
639,2024-03-26,Paid Search,South
640,2023-06-22,Organic,South
641,2024-10-14,Organic,West
642,2023-08-08,Paid Search,South
643,2024-09-29,Paid Search,South
644,2023-02-27,Organic,West
645,2024-10-21,Paid Search,South
646,2024-04-20,Organic,East
647,2024-03-31,Organic,South
648,2023-12-27,Organic,North
649,2023-01-01,Referral,East
650,2024-01-22,Referral,West
651,2023-12-14,Organic,East
652,2023-07-09,Organic,West
653,2024-05-19,Organic,North
654,2023-07-10,Paid Search,North
655,2024-05-22,Paid Search,East
656,2024-01-04,Paid Search,South
657,2024-02-13,Paid Search,East
658,2023-04-27,Organic,East
659,2023-05-14,Referral,North
660,2023-02-27,Paid Search,West
661,2024-07-09,Paid Search,East
662,2024-11-15,Social,South
663,2024-11-02,Paid Search,North
664,2023-06-22,Organic,East
665,2023-05-29,Organic,East
666,2023-03-21,Organic,South
667,2023-08-01,Paid Search,East
668,2023-07-22,Paid Search,East
669,2023-08-17,Paid Search,East
670,2024-11-06,Organic,East
671,2023-08-15,Organic,South
672,2024-10-20,Paid Search,East
673,2024-06-15,Organic,East
674,2024-03-16,Referral,East
675,2024-02-06,Paid Search,North
676,2023-02-16,Organic,South
677,2023-08-21,Organic,North
678,2023-11-01,Paid Search,North
679,2024-06-09,Paid Search,South
680,2023-05-23,Organic,North
681,2024-02-19,Referral,North
682,2024-05-27,Referral,North
683,2024-01-08,Organic,South
684,2024-07-19,Organic,East
685,2023-09-16,Paid Search,West
686,2024-10-17,Organic,West
687,2024-04-15,Organic,South
688,2023-01-12,Paid Search,West
689,2023-11-26,Organic,South
690,2023-12-24,Organic,South
691,2024-02-12,Paid Search,West
692,2024-10-29,Social,North
693,2024-01-08,Paid Search,East
694,2023-01-08,Paid Search,West
695,2023-05-02,Paid Search,West
696,2023-12-14,Referral,West
697,2024-11-06,Organic,West
698,2023-03-31,Paid Search,South
699,2024-10-09,Organic,South
700,2024-11-28,Paid Search,East
701,2023-11-12,Referral,East
702,2023-06-27,Organic,West
703,2024-06-23,Paid Search,West
704,2023-02-10,Social,West
705,2024-12-04,Paid Search,East
706,2024-05-16,Paid Search,West
707,2023-05-25,Organic,North
708,2023-07-20,Social,East
709,2024-12-24,Paid Search,North
710,2024-04-05,Paid Search,West
711,2024-07-11,Paid Search,South
712,2024-06-30,Organic,North
713,2023-09-10,Paid Search,East
714,2024-01-25,Organic,North
715,2024-08-16,Social,East
716,2023-09-13,Organic,West
717,2024-12-09,Paid Search,North
718,2024-03-25,Paid Search,South
719,2023-01-10,Paid Search,North
720,2023-08-30,Referral,South
721,2023-09-08,Paid Search,East
722,2023-01-05,Paid Search,West
723,2023-04-29,Organic,West
724,2024-01-09,Paid Search,South
725,2023-03-06,Organic,East
726,2023-05-26,Paid Search,West
727,2023-08-12,Referral,East
728,2023-08-27,Social,South
729,2023-06-26,Organic,South
730,2023-10-09,Social,North
731,2023-03-04,Paid Search,West
732,2023-08-05,Organic,West
733,2024-11-19,Organic,North
734,2024-04-05,Organic,South
735,2024-09-01,Paid Search,South
736,2023-04-15,Paid Search,South
737,2023-04-09,Paid Search,South
738,2024-05-25,Paid Search,East
739,2024-01-20,Paid Search,West
740,2024-02-09,Organic,West
741,2024-06-01,Paid Search,South
742,2024-04-20,Paid Search,South
743,2024-12-09,Organic,South
744,2024-10-06,Organic,West
745,2024-03-12,Referral,West
746,2023-01-23,Organic,South
747,2024-07-18,Paid Search,East
748,2024-11-07,Referral,North
749,2024-12-14,Organic,North
750,2024-04-02,Paid Search,North
751,2023-03-24,Organic,West
752,2023-05-25,Social,West
753,2023-03-26,Paid Search,North
754,2023-03-19,Paid Search,North
755,2024-04-01,Paid Search,East
756,2023-01-01,Paid Search,West
757,2023-02-20,Paid Search,West
758,2024-11-15,Organic,North
759,2024-12-17,Paid Search,East
760,2024-03-21,Social,East
761,2024-03-24,Referral,North
762,2024-05-02,Organic,North
763,2023-02-03,Referral,West
764,2023-12-14,Paid Search,North
765,2023-04-05,Organic,South
766,2023-03-13,Organic,East
767,2024-07-04,Referral,North
768,2023-06-03,Referral,South
769,2023-09-07,Paid Search,East
770,2024-11-04,Social,South
771,2024-03-13,Paid Search,South
772,2023-04-28,Referral,North
773,2023-11-02,Social,East
774,2023-09-25,Paid Search,South
775,2023-02-23,Organic,West
776,2023-08-24,Paid Search,East
777,2024-01-24,Paid Search,West
778,2024-02-05,Organic,North
779,2024-09-15,Organic,West
780,2023-10-30,Social,East
781,2023-07-26,Organic,South
782,2023-08-17,Organic,South
783,2024-07-31,Referral,East
784,2023-03-16,Social,South
785,2024-03-10,Paid Search,West
786,2023-04-13,Social,South
787,2024-02-26,Paid Search,South
788,2024-12-04,Referral,West
789,2023-11-02,Paid Search,West
790,2023-04-08,Paid Search,West
791,2023-12-01,Paid Search,North
792,2024-03-10,Organic,West
793,2024-03-22,Paid Search,West
794,2023-11-04,Paid Search,North
795,2023-09-06,Organic,South
796,2023-06-15,Social,West
797,2024-04-25,Paid Search,East
798,2023-12-01,Paid Search,West
799,2024-06-25,Paid Search,West
800,2023-04-16,Paid Search,North
801,2024-07-16,Referral,East
802,2023-03-22,Referral,South
803,2023-05-13,Organic,South
804,2023-05-18,Paid Search,East
805,2023-07-03,Referral,West
806,2024-02-05,Organic,North
807,2023-11-26,Referral,East
808,2024-05-22,Organic,East
809,2023-03-10,Referral,South
810,2024-06-29,Organic,North
811,2023-02-22,Paid Search,East
812,2024-03-25,Social,North
813,2023-07-24,Organic,West
814,2023-05-06,Organic,South
815,2023-02-12,Paid Search,West
816,2023-04-21,Organic,North
817,2024-10-24,Organic,West
818,2023-07-02,Paid Search,South
819,2023-04-05,Paid Search,North
820,2024-01-09,Organic,East
821,2024-06-03,Referral,West
822,2023-12-26,Organic,South
823,2024-11-26,Paid Search,East
824,2023-10-08,Organic,South
825,2023-07-14,Paid Search,North
826,2023-07-14,Paid Search,North
827,2024-10-28,Paid Search,West
828,2023-04-03,Paid Search,South
829,2024-11-02,Paid Search,South
830,2023-03-02,Paid Search,South
831,2024-09-25,Paid Search,North
832,2023-02-20,Paid Search,West
833,2024-02-07,Organic,South
834,2023-01-05,Organic,South
835,2024-04-10,Paid Search,East
836,2024-08-26,Referral,South
837,2024-11-12,Paid Search,West
838,2024-06-17,Organic,East
839,2024-02-09,Paid Search,East
840,2024-05-27,Paid Search,East
841,2024-10-06,Organic,North
842,2023-08-21,Organic,East
843,2024-06-07,Referral,South
844,2023-12-12,Organic,North
845,2023-02-15,Social,North
846,2024-06-29,Paid Search,North
847,2023-03-19,Paid Search,North
848,2024-12-30,Paid Search,North
849,2023-03-14,Paid Search,North
850,2023-09-06,Organic,North
851,2023-02-16,Organic,East
852,2023-05-01,Paid Search,West
853,2023-08-02,Social,South
854,2023-08-27,Referral,South
855,2023-02-25,Paid Search,East
856,2023-12-16,Paid Search,East
857,2023-04-17,Paid Search,North
858,2023-02-17,Paid Search,West
859,2024-07-26,Paid Search,North
860,2023-12-03,Organic,East
861,2023-01-26,Paid Search,North
862,2023-09-14,Paid Search,South
863,2023-01-08,Social,South
864,2024-09-16,Organic,North
865,2023-09-10,Social,West
866,2024-11-22,Paid Search,North
867,2024-12-19,Paid Search,North
868,2023-10-30,Organic,West
869,2024-09-30,Paid Search,West
870,2023-02-25,Paid Search,West
871,2024-12-26,Organic,South
872,2024-06-09,Organic,North
873,2024-04-18,Paid Search,East
874,2023-01-28,Organic,West
875,2023-03-19,Paid Search,West
876,2023-08-04,Paid Search,North
877,2024-01-21,Paid Search,East
878,2023-12-31,Paid Search,North
879,2024-10-27,Paid Search,North
880,2024-06-09,Social,West
