order_id,variable_cost,delivery_cost,support_cost
108,38.78,16.39,2.68
109,18.1,13.26,3.59
110,14.27,16.94,10.34
111,19.42,12.22,3.6
112,16.51,20.11,8.4
113,29.76,17.84,4.63
114,17.77,11.95,6.65
115,10.69,21.96,23.94
116,33.58,28.62,23.45
117,11.23,22.86,1.32
118,141.76,13.25,6.7
119,76.36,14.26,6.53
120,23.55,18.32,8.89
121,82.34,17.75,12.71
122,36.5,10.23,8.46
123,83.74,11.11,5.3
124,23.13,17.33,21.95
125,30.62,16.29,20.24
126,18.56,14.67,10.15
127,12.44,13.52,48.12
128,24.24,15.12,8.54
129,19.15,16.33,1.24
130,44.01,28.33,1.13
131,40.41,19.78,8.12
132,27.02,11.7,10.6
133,31.58,18.22,5.98
134,26.47,15.34,12.74
135,71.08,11.94,43.86
136,64.93,23.65,4.03
137,39.1,14.03,13.04
138,23.5,12.24,6.17
139,127.35,16.86,5.42
140,68.31,16.95,3.27
141,26.63,18.78,10.8
142,40.92,20.12,5.4
143,39.51,12.21,7.93
144,34.21,18.27,6.9
145,25.33,20.77,34.33
146,23.08,17.78,2.0
147,17.69,10.97,16.08
148,80.64,15.34,47.66
149,50.4,13.44,7.58
150,60.91,18.3,9.0
151,41.17,20.97,3.59
152,23.53,23.11,6.14
153,32.19,27.9,7.97
154,15.32,16.95,13.51
155,68.68,20.56,6.72
156,48.81,15.59,11.3
157,23.07,11.4,3.68
158,43.89,13.48,4.0
159,81.04,29.43,17.99
160,48.0,20.83,28.66
161,12.33,11.56,10.4
162,13.06,12.88,50.14
163,29.4,20.75,3.53
164,15.69,15.18,4.25
165,106.33,23.95,34.77
166,12.67,17.83,16.18
167,18.33,14.32,324.0
168,26.01,20.84,2.56
169,138.1,16.4,3.68
170,61.1,30.28,5.27
171,14.98,21.57,44.2
172,32.4,14.18,3.17
173,49.89,11.67,22.92
174,18.39,9.14,6.64
175,109.32,12.16,33.35
176,22.77,14.82,25.53
177,10.92,13.72,2.58
178,89.43,12.03,5.63
179,79.55,12.03,21.93
180,31.1,30.41,6.29
181,73.9,16.94,2.8
182,18.38,13.56,7.68
183,23.97,12.74,23.58
184,24.51,18.37,14.42
185,128.59,17.95,14.07
186,38.11,18.16,16.7
187,14.65,13.93,81.26
188,47.03,23.37,151.3
189,36.24,13.19,4.67
190,67.37,21.81,1.76
191,31.39,23.62,3.05
192,34.16,14.54,24.51
193,58.83,10.77,6.29
194,38.31,20.33,6.01
195,67.07,19.97,53.41
196,18.69,16.43,16.34
197,24.66,10.76,10.77
198,70.14,13.62,14.61
199,53.98,12.98,3.62
200,28.71,17.52,2.29
201,34.35,12.77,16.97
202,22.77,10.59,8.7
203,19.18,25.23,9.46
204,21.12,17.71,16.17
205,54.33,16.25,38.59
206,74.29,19.84,16.62
207,19.47,14.44,4.76
208,15.07,15.48,3.75
209,116.23,11.75,48.03
210,27.22,15.31,5.45
211,29.72,24.86,22.52
212,32.71,17.13,3.41
213,24.23,16.39,17.87
214,34.13,19.61,4.04
215,61.31,15.92,1.83
216,26.44,20.85,8.96
217,21.65,16.93,1.62
218,19.96,8.03,1.62
219,18.95,20.24,4.5
220,91.47,25.22,12.1
221,23.39,17.21,9.26
222,28.85,10.67,27.96
223,19.2,11.75,4.08
224,65.87,13.3,42.34
225,108.73,14.48,3.05
226,28.41,12.55,9.98
227,27.74,16.92,23.9
228,14.98,13.05,27.23
229,28.48,19.83,2.11
230,18.18,10.36,17.32
231,18.63,20.48,4.56
232,31.96,13.21,20.75
233,12.7,21.05,9.44
234,41.04,12.2,7.98
235,15.4,23.17,110.29
236,58.91,15.45,6.88
237,22.46,14.49,5.22
238,68.61,23.84,1.53
239,15.83,19.42,15.32
240,73.83,28.69,3.01
241,29.1,20.15,20.8
242,49.05,22.48,0.8
243,26.4,16.16,14.78
244,28.67,18.87,7.93
245,24.12,10.5,11.45
246,24.24,25.72,30.76
247,71.99,10.83,10.17
248,35.89,20.39,7.99
249,54.85,23.57,3.33
250,14.83,14.08,20.03
251,36.0,8.48,1.37
252,41.6,10.12,9.55
253,104.4,17.76,2.1
254,103.06,18.16,71.39
255,21.6,20.67,9.15
256,52.64,16.14,19.33
257,43.12,22.78,2.57
258,87.58,8.89,4.08
259,29.11,27.18,6.04
260,16.84,17.7,33.69
261,52.0,8.43,3.45
262,24.57,19.49,8.08
263,64.03,24.94,13.87
264,17.98,11.25,11.22
265,12.99,17.83,8.74
266,63.5,10.67,34.82
267,42.74,18.3,21.41
268,40.89,18.46,7.26
269,25.74,14.08,1.39
270,59.67,30.12,2.56
271,55.96,24.86,6.31
272,20.93,17.32,2.93
273,53.96,12.86,2.71
274,30.92,18.75,3.76
275,39.65,8.58,1.84
276,17.41,22.44,25.27
277,57.44,18.33,82.5
278,40.91,19.75,67.4
279,63.95,14.3,2.55
280,30.05,18.36,8.03
281,39.28,20.66,0.48
282,81.62,17.98,13.55
283,48.89,19.14,5.22
284,29.13,14.34,4.46
285,86.03,18.57,20.19
286,85.22,10.53,12.32
287,67.01,19.19,4.52
288,150.93,19.55,25.87
289,18.03,18.45,2.94
290,120.7,22.04,13.21
291,93.85,11.77,17.73
292,34.58,14.48,42.99
293,33.11,12.18,10.64
294,29.1,31.7,15.58
295,18.15,21.8,8.8
296,66.68,13.87,9.43
297,27.47,14.44,21.01
298,22.95,13.03,61.2
299,31.91,19.66,12.18
300,17.48,15.5,29.56
301,37.03,23.19,3.42
302,108.72,18.78,7.88
303,24.38,29.59,14.78
304,23.95,8.46,38.2
305,75.56,26.95,2.0
306,41.22,15.76,2.34
307,170.56,9.57,14.83
308,17.21,14.61,3.3
309,22.48,18.15,12.61
310,137.49,15.81,4.22
311,22.21,9.7,5.54
312,36.01,16.36,0.87
313,71.59,22.44,32.95
314,25.58,7.66,2.91
315,23.51,14.67,7.27
316,93.47,19.33,13.06
317,12.82,22.03,61.3
318,35.44,26.6,2.99
319,15.68,16.46,8.28
320,46.71,19.88,8.98
321,17.56,13.87,16.08
322,21.02,24.42,1.39
323,24.91,26.24,10.27
324,20.9,22.26,10.62
325,18.0,11.01,22.89
326,15.43,24.16,2.71
327,25.41,20.32,4.92
328,19.44,17.68,29.62
329,27.6,10.26,1.3
330,44.25,17.51,2.36
331,19.07,22.91,3.26
332,68.68,24.4,33.72
333,31.37,15.81,9.02
334,89.81,12.89,16.01
335,16.2,10.3,8.8
336,24.07,9.98,2.87
337,36.83,26.34,13.7
338,29.92,17.64,18.18
339,44.45,22.94,7.28
340,25.29,23.74,16.21
341,13.67,14.79,4.14
342,20.28,17.14,29.65
343,28.24,25.89,0.83
344,22.6,8.31,3.74
345,141.99,16.94,1.55
346,61.14,17.51,11.52
347,15.32,18.31,4.53
348,146.62,8.21,8.79
349,29.8,12.93,4.02
350,36.5,25.75,15.5
351,37.79,16.95,5.77
352,24.22,24.59,21.84
353,52.69,16.51,15.15
354,29.65,17.69,4.54
355,68.44,16.65,8.22
356,38.78,10.69,49.09
357,43.56,14.71,481.23
358,63.18,9.36,72.67
359,81.73,17.1,29.92
360,32.31,19.02,21.74
361,47.45,9.94,3.56
362,47.0,13.74,6.03
363,75.46,18.27,3.2
364,16.16,12.18,14.96
365,26.36,19.17,14.22
366,44.64,26.18,6.92
367,56.04,21.73,5.79
368,14.49,21.0,2.25
369,29.59,30.11,4.35
370,11.43,15.6,19.32
371,55.79,21.29,20.31
372,62.0,16.11,14.7
373,24.31,19.01,5.87
374,77.66,22.04,2.63
375,21.71,19.58,6.85
376,14.1,10.11,4.19
377,46.54,8.7,2.08
378,25.65,7.41,10.02
379,52.06,10.08,3.74
380,53.08,18.35,5.74
381,40.14,16.67,4.14
382,28.71,26.54,2.54
383,22.13,11.44,3.17
384,76.18,15.65,22.89
385,22.95,7.84,5.1
386,18.48,10.15,4.51
387,29.58,24.99,6.0
388,17.51,14.08,0.6
389,112.85,11.13,29.92
390,32.15,8.79,5.59
391,65.63,18.29,3.51
392,17.56,18.21,4.51
393,43.2,15.89,11.26
394,71.03,25.55,12.78
395,22.73,24.83,4.39
396,28.42,19.29,3.12
397,26.92,24.61,12.09
398,62.43,15.82,10.01
399,13.23,7.45,11.67
400,20.84,20.31,11.02
401,28.07,17.6,10.5
402,79.47,6.07,1.14
403,64.15,23.21,0.74
404,41.3,22.61,4.38
405,20.96,20.46,2.19
406,154.8,16.82,31.25
407,30.16,8.24,35.45
408,40.84,6.95,2.53
409,15.64,24.08,3.57
410,70.39,25.11,3.37
411,8.82,19.06,6.15
412,22.23,21.67,4.36
413,28.61,17.21,8.29
414,22.48,23.01,4.57
415,34.45,12.22,4.24
416,15.65,9.77,12.15
417,23.3,17.03,3.63
418,15.28,14.98,13.36
419,21.38,26.16,4.81
420,26.84,7.67,2.01
421,18.87,17.48,15.79
422,78.89,8.01,8.62
423,20.94,18.75,3.31
424,37.29,22.2,7.88
425,14.64,19.39,1.2
426,18.7,20.35,29.98
427,66.81,20.34,9.07
428,44.82,14.54,3.13
429,42.48,29.14,1.39
430,78.84,12.25,8.17
431,17.6,15.0,3.95
432,15.75,23.52,3.8
433,53.21,11.37,73.47
434,26.16,15.14,0.99
435,16.2,19.61,3.1
436,119.49,21.43,12.33
437,84.35,10.19,4.55
438,47.7,13.5,8.5
439,21.44,13.31,64.34
440,19.94,18.82,5.39
441,31.09,11.72,16.99
442,31.53,8.16,2.55
443,17.75,9.96,5.35
444,69.14,24.01,0.84
445,25.05,8.74,2.69
446,22.16,9.1,27.96
447,18.2,14.49,4.13
448,10.84,11.43,9.22
449,67.61,16.88,5.13
450,25.52,22.49,1.66
451,28.56,19.75,8.26
452,25.64,23.97,10.41
453,14.73,15.76,1.67
454,58.38,18.06,7.74
455,36.66,19.94,4.14
456,21.54,15.68,9.66
457,18.4,11.55,7.03
458,56.74,19.29,53.58
459,19.28,13.39,3.24
460,11.44,25.59,4.14
461,17.72,10.6,7.89
462,73.01,9.73,1.88
463,18.87,11.92,16.36
464,96.74,25.3,3.67
465,19.29,12.88,24.39
466,17.56,22.05,11.03
467,33.36,9.54,39.39
468,18.55,21.8,1.43
469,32.34,12.87,3.74
470,35.23,11.54,5.35
471,29.66,16.27,4.29
472,122.92,11.69,3.63
473,20.79,7.8,30.49
474,36.34,13.56,15.41
475,57.8,8.31,11.5
476,40.19,23.07,34.31
477,68.79,8.83,3.18
478,25.79,17.65,23.41
479,24.36,19.15,2.23
480,33.75,24.65,4.54
481,18.86,26.77,15.53
482,23.44,10.49,8.31
483,36.85,11.25,6.73
484,25.23,16.96,5.06
485,38.94,17.2,16.06
486,80.92,11.73,2.78
487,62.8,13.2,2.83
488,22.32,9.12,19.97
489,31.97,17.78,3.63
490,84.07,11.51,4.43
491,83.8,13.23,1.94
492,16.38,27.26,32.83
493,31.33,19.63,25.92
494,10.73,17.61,3.53
495,15.33,12.92,2.12
496,68.72,17.83,46.45
497,21.88,26.8,13.05
498,32.28,12.57,13.17
499,13.44,14.57,88.2
500,25.31,11.31,42.36
501,15.56,14.23,19.08
502,65.05,15.08,20.27
503,38.47,23.16,34.05
504,39.36,13.82,8.14
505,14.28,10.19,1.39
506,13.41,26.14,6.4
507,22.27,14.74,2.94
508,11.47,17.88,2.42
509,24.42,21.72,2.54
510,18.34,12.18,13.23
511,39.67,13.23,50.98
512,23.66,26.75,24.84
513,27.65,15.02,1.16
514,18.71,10.58,6.96
515,17.75,10.78,3.28
516,48.69,31.0,14.99
517,13.44,20.25,16.64
518,127.76,9.31,8.01
519,19.18,8.95,15.81
520,23.39,9.07,6.13
521,16.78,11.24,11.74
522,90.98,11.37,9.93
523,27.89,18.91,7.49
524,16.15,14.74,19.75
525,48.79,10.31,0.66
526,23.51,14.98,19.52
527,14.5,19.4,12.89
528,96.85,22.27,7.32
529,12.45,14.1,10.27
530,23.0,16.39,1.48
531,37.11,14.16,8.85
532,17.1,26.22,75.87
533,22.77,17.4,17.57
534,50.55,10.94,3.84
535,50.68,15.68,3.91
536,41.57,20.72,7.38
537,13.31,15.04,5.64
538,39.19,15.3,3.2
539,23.45,18.25,25.95
540,13.95,26.05,22.13
541,183.8,14.01,4.27
542,62.35,21.96,2.2
543,22.87,12.82,1.27
544,15.11,10.64,6.55
545,43.23,8.96,3.28
546,48.97,22.94,6.87
547,58.69,13.07,9.99
548,27.48,23.48,6.37
549,42.59,10.51,24.94
550,37.66,14.29,2.41
551,17.28,24.22,3.83
552,38.65,14.96,0.77
553,33.8,11.13,5.56
554,21.68,14.94,28.71
555,23.93,14.4,22.49
556,22.19,16.95,6.52
557,89.39,22.68,4.07
558,26.37,17.36,12.17
559,78.19,8.65,5.14
560,57.24,16.76,5.56
561,62.32,18.89,24.89
562,56.12,22.58,8.64
563,26.55,14.23,186.85
564,21.19,16.92,3.91
565,47.4,12.73,6.18
566,90.34,13.9,7.57
567,44.58,13.47,17.49
568,35.35,28.07,6.8
569,27.33,16.06,11.24
570,54.28,9.02,1.56
571,28.89,10.96,18.2
572,43.08,9.38,2.63
573,21.9,26.51,4.8
574,88.8,9.66,14.03
575,36.73,16.31,12.89
576,16.96,30.22,1.68
577,23.36,20.46,3.58
578,40.29,18.01,8.01
579,33.54,10.55,8.44
580,52.79,27.37,7.49
581,30.48,13.14,3.66
582,22.73,18.57,9.22
583,57.68,7.05,1.69
584,35.42,27.09,21.61
585,43.63,22.44,7.47
586,16.85,19.8,39.88
587,59.96,18.36,16.05
588,33.99,8.72,14.42
589,65.5,23.2,10.89
590,17.17,11.35,4.29
591,42.1,24.29,9.24
592,75.26,21.66,1.54
593,76.13,17.26,3.11
594,78.06,9.55,1.95
595,19.18,13.77,11.09
596,34.45,18.93,3.02
597,26.32,7.41,11.28
598,20.48,14.8,5.54
599,20.96,23.02,1.28
600,21.42,15.96,4.07
601,34.91,20.96,4.8
602,20.15,17.59,13.81
603,14.39,9.04,4.28
604,34.1,19.13,19.85
605,31.02,11.7,21.63
606,38.9,14.95,2.64
607,48.4,13.37,5.08
608,110.01,14.2,4.48
609,83.1,15.02,33.03
610,89.55,20.4,3.21
611,102.83,19.7,4.17
612,69.58,14.94,14.8
613,14.18,22.99,13.23
614,27.02,17.33,10.11
615,44.45,8.42,6.91
616,91.69,9.58,7.71
617,16.08,27.22,0.97
618,88.93,8.62,10.47
619,12.96,12.12,27.99
620,17.96,14.9,86.79
621,41.14,20.24,8.41
622,33.64,9.27,36.66
623,52.81,14.3,2.18
624,41.68,17.07,8.89
625,18.88,26.42,15.21
626,87.37,13.66,17.05
627,83.17,17.87,10.6
628,112.55,15.62,9.63
629,39.69,17.02,2.74
630,54.26,10.02,9.7
631,11.55,21.83,4.7
632,56.96,11.82,18.44
633,16.76,19.26,17.74
634,19.12,27.55,11.6
635,110.11,8.53,1.83
636,46.58,21.89,1.13
637,124.21,18.87,5.08
638,54.55,9.02,11.24
639,19.03,17.31,3.46
640,105.64,22.91,3.14
641,35.28,12.34,16.24
642,35.44,6.81,4.87
643,18.54,21.3,2.71
644,43.78,10.73,1.1
645,126.04,10.78,67.0
646,52.06,20.38,5.23
647,122.47,12.13,2.4
648,55.87,8.13,6.4
649,94.79,26.22,3.12
650,28.45,28.08,4.16
651,119.06,10.54,21.86
652,28.21,14.22,2.02
653,26.24,13.69,0.92
654,31.1,13.76,4.36
655,29.67,20.54,2.87
656,16.93,9.03,29.59
657,23.33,23.65,12.6
658,49.85,18.04,14.13
659,30.25,9.28,5.74
660,74.96,18.04,0.82
661,80.7,19.39,6.0
662,53.89,10.81,11.25
663,75.6,8.62,16.87
664,32.37,6.26,218.42
665,60.36,16.71,8.12
666,36.44,17.15,4.95
667,39.26,22.11,19.28
668,19.35,14.01,3.75
669,40.9,9.98,7.64
670,19.37,14.79,1.32
671,24.56,9.71,4.99
672,17.72,20.87,7.36
673,16.65,28.09,16.45
674,54.4,17.83,17.65
675,35.08,14.07,6.63
676,18.75,19.24,8.8
677,26.01,9.97,13.7
678,17.35,18.09,8.31
679,30.46,22.67,21.47
680,27.96,20.63,3.95
681,19.75,28.91,6.34
682,58.49,13.3,3.13
683,11.29,8.99,15.64
684,18.59,12.49,28.5
685,24.59,18.78,20.49
686,44.19,21.37,1.76
687,34.53,13.22,45.01
688,27.36,12.98,22.19
689,23.75,14.33,12.99
690,25.5,21.78,8.54
691,40.78,17.46,5.1
692,20.95,28.91,25.03
693,118.36,19.09,2.6
694,31.0,7.84,22.37
695,23.9,23.72,32.61
696,17.99,28.36,3.06
697,142.9,16.5,7.38
698,81.78,19.41,1.64
699,101.24,15.92,16.37
700,46.26,16.52,4.47
701,15.63,12.53,11.68
702,19.69,25.24,10.84
703,14.75,14.56,2.15
704,21.03,22.74,3.69
705,30.46,11.71,104.94
706,23.96,18.64,2.97
707,67.31,13.48,6.29
708,20.17,17.36,13.22
709,25.11,11.2,6.07
710,38.37,8.59,16.45
711,34.96,13.47,2.13
712,22.21,23.87,14.03
713,15.67,8.81,4.52
714,18.81,14.3,0.58
715,23.08,19.72,14.15
716,117.58,18.7,5.36
717,96.76,23.96,5.49
718,35.4,17.88,15.04
719,19.1,19.31,30.72
720,21.55,9.06,7.63
721,31.28,17.26,5.86
722,18.33,27.81,3.08
723,60.45,26.96,9.96
724,33.53,15.49,3.54
725,27.1,12.82,7.03
726,79.2,10.41,16.2
727,31.68,11.63,3.9
728,25.79,20.31,11.61
729,60.96,23.06,3.53
730,28.67,14.93,27.02
731,33.49,7.48,3.96
732,25.3,17.17,0.62
733,22.55,16.72,2.16
734,101.42,26.47,6.37
735,127.79,17.66,15.26
736,71.18,17.36,7.58
737,15.45,12.93,3.88
738,27.28,16.22,0.48
739,75.94,15.18,42.16
740,56.45,17.89,11.69
741,14.54,8.92,2.86
742,15.22,10.06,9.05
743,23.59,13.2,4.13
744,66.2,13.71,3.11
745,27.28,14.04,7.91
746,44.99,7.51,4.17
747,23.53,23.55,2.25
748,54.03,22.66,18.94
749,20.32,10.61,16.64
750,75.64,22.59,2.7
751,60.9,19.03,4.81
752,21.29,16.49,5.52
753,78.32,14.53,65.05
754,22.9,13.16,13.68
755,36.61,12.09,5.85
756,82.96,12.93,1.96
757,110.01,13.69,2.66
758,15.13,10.15,1.37
759,25.72,16.67,30.22
760,19.84,17.82,6.09
761,16.39,12.45,18.23
762,34.21,9.71,1.0
763,24.6,15.94,18.15
764,66.64,20.54,4.22
765,26.55,15.58,3.77
766,63.92,12.69,17.64
767,70.69,17.05,2.77
768,62.31,18.27,12.31
769,73.12,15.16,2.58
770,23.41,18.0,3.81
771,20.47,6.64,5.99
772,12.75,8.45,19.76
773,36.43,26.3,3.23
774,25.66,19.95,7.24
775,26.17,10.37,19.82
776,38.62,18.28,50.23
777,14.41,8.43,3.3
778,29.52,29.86,16.39
779,25.9,22.24,100.89
780,30.53,29.98,13.03
781,43.14,21.77,24.4
782,33.02,11.09,16.02
783,95.96,15.76,6.69
784,47.75,12.6,149.99
785,143.66,22.38,1.65
786,39.88,23.7,8.41
787,30.25,8.94,1.57
788,24.85,11.3,67.25
789,27.27,12.58,2.04
790,80.61,14.98,7.82
791,94.32,28.55,18.24
792,29.47,11.57,8.07
793,67.06,23.09,7.44
794,97.94,19.39,4.73
795,28.66,22.32,1.94
796,37.0,10.31,5.85
797,59.5,15.15,5.13
798,31.79,9.1,2.19
799,38.22,26.55,11.78
800,96.02,18.45,4.74
801,29.18,11.73,4.45
802,17.19,18.92,11.0
803,54.33,8.31,4.24
804,23.77,13.49,4.88
805,32.69,14.45,14.35
806,31.03,19.66,3.14
807,27.1,17.95,5.58
808,18.3,21.86,10.46
809,19.4,6.28,12.61
810,63.82,28.44,25.79
811,64.24,11.07,5.86
812,83.13,14.34,37.58
813,54.7,12.02,142.53
814,16.98,16.48,2.98
815,20.41,21.4,5.78
816,14.46,14.92,16.56
817,14.76,11.77,6.33
818,20.39,21.81,8.56
819,17.47,13.43,3.27
820,26.87,12.91,10.81
821,16.37,21.24,25.36
822,48.58,11.11,42.94
823,64.13,14.73,7.34
824,34.57,19.72,29.17
825,21.37,13.04,6.96
826,54.24,7.99,3.27
827,72.83,26.55,1.47
828,35.86,11.18,21.01
829,103.04,18.02,31.89
830,92.84,19.27,6.44
831,14.72,15.48,40.7
832,13.26,15.51,5.42
833,11.46,23.86,23.83
834,38.24,9.77,14.22
835,40.07,25.16,3.41
836,18.61,21.08,14.99
837,38.81,17.14,24.66
838,111.07,14.01,1.92
839,36.3,14.09,15.51
840,33.15,24.47,12.09
841,18.49,20.53,13.74
842,13.41,16.66,7.93
843,29.88,10.57,6.29
844,28.1,28.09,9.43
845,43.17,9.1,4.4
846,45.98,24.33,1.16
847,38.34,16.4,6.29
848,15.47,19.91,29.98
849,74.75,22.62,21.1
850,30.58,14.88,9.86
851,42.45,15.25,10.14
852,16.23,8.87,1.59
853,15.75,20.23,10.66
854,22.18,18.12,1.02
855,89.5,11.18,2.26
856,55.77,25.65,127.47
857,28.81,11.83,9.42
858,28.64,14.1,12.28
859,18.35,20.16,3.83
860,57.9,7.77,11.79
861,18.83,10.59,4.04
862,40.88,14.52,7.0
863,29.68,17.62,6.25
864,15.66,15.44,3.83
865,25.93,21.46,5.11
866,16.62,14.57,25.83
867,20.8,19.5,18.91
868,27.22,15.83,6.82
869,29.56,17.81,13.89
870,63.29,16.95,27.2
871,24.59,29.57,3.59
872,72.91,11.31,3.19
873,30.19,20.99,5.17
874,17.91,17.62,5.16
875,44.61,12.91,5.25
876,27.19,23.4,9.42
877,37.05,21.08,8.89
878,48.03,13.8,8.41
879,32.08,31.52,29.31
880,84.78,20.37,59.47
881,17.98,15.13,4.45
882,101.9,14.11,8.17
883,15.6,15.97,2.98
884,73.25,23.99,11.52
885,16.64,20.15,10.33
886,25.12,22.05,9.19
887,72.15,11.74,15.37
888,128.63,18.43,5.72
889,73.67,19.31,6.06
890,30.8,20.69,4.39
891,48.02,26.08,31.97
892,15.14,9.72,2.82
893,56.37,14.11,4.48
894,62.11,20.22,3.43
895,25.45,14.72,369.17
896,14.36,12.03,44.29
897,18.33,25.08,2.9
898,34.11,9.9,13.16
899,67.14,10.37,14.81
900,41.83,19.12,8.03
901,105.9,10.65,9.77
902,37.27,19.86,3.66
903,17.09,26.24,12.32
904,39.28,16.64,20.11
905,22.68,13.18,1.09
906,16.04,16.11,34.31
907,35.51,17.11,5.07
908,21.6,13.16,21.08
909,43.32,12.8,30.5
910,22.52,10.93,23.53
911,34.68,17.17,13.49
912,21.46,14.29,9.64
913,87.95,24.66,1.18
914,18.83,10.51,10.15
915,30.25,18.03,12.41
916,26.31,11.7,6.84
917,60.82,21.77,61.91
918,106.57,9.93,26.31
919,19.76,20.3,5.84
920,35.47,22.99,12.92
921,43.27,19.85,8.74
922,33.45,21.33,17.73
923,18.44,23.07,4.04
924,29.09,27.22,15.62
925,56.28,14.69,11.75
926,28.84,15.71,39.42
927,26.3,7.57,4.85
928,60.39,24.24,3.94
929,15.92,13.49,19.5
930,42.87,14.22,10.14
931,27.79,16.12,3.67
932,54.57,23.74,1.89
933,41.99,13.96,1.46
934,39.04,19.56,10.69
935,51.65,7.52,4.24
936,17.09,23.56,3.89
937,71.14,9.95,11.03
938,16.52,14.11,0.63
939,78.43,7.65,15.18
940,23.15,22.56,21.82
941,36.06,12.34,21.47
942,67.19,18.99,13.1
943,18.76,20.24,22.42
944,23.99,10.12,34.37
945,59.1,6.37,3.0
946,19.85,16.83,1.69
947,19.76,13.39,5.97
948,73.77,25.63,26.42
949,38.45,16.17,15.36
950,19.06,11.93,1.05
951,41.01,14.26,5.83
952,77.26,8.82,6.18
953,22.31,22.04,2.0
954,103.48,22.76,11.85
955,15.76,11.3,4.87
956,22.6,21.66,2.73
957,151.34,16.88,31.94
958,28.39,25.86,2.24
959,77.48,27.67,35.95
960,18.16,17.65,4.46
961,12.58,13.72,10.36
962,66.23,19.11,9.4
963,25.49,23.75,17.4
964,24.54,10.25,6.0
965,20.13,23.1,7.57
966,23.97,21.6,14.96
967,37.27,9.88,9.95
968,21.37,16.76,1.96
969,104.95,16.19,3.17
970,29.58,23.17,38.06
971,21.18,23.78,11.62
972,61.98,9.62,7.62
973,19.14,14.71,2.22
974,28.73,11.77,7.93
975,39.95,24.09,15.95
976,52.79,22.56,20.49
977,59.99,20.64,11.03
978,133.91,15.07,6.53
979,29.84,14.65,3.44
980,62.75,14.92,4.08
981,24.76,10.46,20.33
982,84.31,9.98,3.87
983,17.38,14.39,7.02
984,61.14,16.16,18.91
985,42.99,12.92,4.3
986,36.78,12.99,2.28
987,75.54,28.54,1.86
988,22.2,25.93,22.35
989,93.25,18.11,4.56
990,124.34,10.35,10.28
991,31.23,14.27,13.65
992,48.71,21.37,6.44
993,17.09,20.68,3.83
994,14.09,23.17,2.34
995,23.19,15.35,10.92
996,47.24,17.65,14.88
